.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11605259_1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR11605259_2	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR11605259_kneaddata_paired_1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR11605259_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605260_1	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605260_2	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605260_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605260_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605261_1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR11605261_2	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR11605261_kneaddata_paired_1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR11605261_kneaddata_paired_2	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR11605262_1	1	1	1	0.25	1	1	1	0.5	1	0.5
SRR11605262_2	1	1	1	0.25	1	1	1	0.5	1	0.5
SRR11605262_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.5	1	0.5
SRR11605262_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.5	1	0.5
SRR11605263_1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR11605263_2	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR11605263_kneaddata_paired_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR11605263_kneaddata_paired_2	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR11605264_1	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605264_2	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605264_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605264_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605265_1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR11605265_2	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR11605265_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605265_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605266_1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR11605266_2	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR11605266_kneaddata_paired_1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR11605266_kneaddata_paired_2	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR11605267_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR11605267_2	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR11605267_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605267_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605268_1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR11605268_2	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605268_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605268_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605269_1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR11605269_2	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR11605269_kneaddata_paired_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR11605269_kneaddata_paired_2	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR11605270_1	1	1	1	0.25	1	1	1	0.5	1	1
SRR11605270_2	1	1	1	0.25	1	1	1	0.5	1	1
SRR11605270_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR11605270_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR11605271_1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR11605271_2	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR11605271_kneaddata_paired_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR11605271_kneaddata_paired_2	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR11605272_1	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605272_2	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605272_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605272_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605273_1	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605273_2	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605273_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605273_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605274_1	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605274_2	1	1	1	0.25	1	1	1	0.25	1	1
SRR11605274_kneaddata_paired_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR11605274_kneaddata_paired_2	1	1	1	0.25	1	1	0.5	0.25	1	1
