Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR11605259_1 - illumina_universal_adapter	(1, 2.7369238672624767e-05)	(2, 5.473847734524953e-05)	(3, 5.473847734524953e-05)	(4, 6.842309668156192e-05)	(5, 6.842309668156192e-05)	(6, 8.21077160178743e-05)	(7, 8.21077160178743e-05)	(8, 9.579233535418669e-05)	(9, 9.579233535418669e-05)	(10, 0.00011631926435865526)	(12, 0.00013684619336312384)	(14, 0.00019158467070837335)	(16, 0.0002394808383854667)	(18, 0.00026000776738993527)	(20, 0.0003010616253988725)	(22, 0.0003421154834078096)	(24, 0.0003900116510849029)	(26, 0.0004036962704212153)	(28, 0.0004379078187619963)	(30, 0.0004584347477664648)	(32, 0.000499488605775402)	(34, 0.0005200155347798705)	(36, 0.0005473847734524953)	(38, 0.0005884386314614325)	(40, 0.0006089655604659011)	(42, 0.0006637040378111506)	(44, 0.0007252848248245564)	(46, 0.0007937079215061182)	(48, 0.000930554114869242)	(50, 0.0010263464502234289)	(52, 0.0011905618822591773)	(54, 0.0013479350046267696)	(56, 0.0015532042946714555)	(58, 0.0017721582040524536)	(60, 0.0020184813521060764)	(62, 0.0023537545258457302)	(64, 0.0027711354156032576)	(66, 0.0034690510017551896)	(68, 0.00427644354259762)	(70, 0.005186470728462393)	(72, 0.006158078701340572)	(74, 0.007464959847958405)	(76, 0.008922371807275674)	(78, 0.010427679934270037)	(80, 0.012425634357371644)	(82, 0.014622015760849781)	(84, 0.017126301099394947)	(86, 0.019931648063338987)	(88, 0.02281226043363274)	(90, 0.02633604991273318)	(92, 0.030763024268030237)	(94, 0.03501209857195523)	(96, 0.040219096229422095)	(98, 0.04665770962715707)	(100, 0.05384897708838923)	(102, 0.061382360033029194)	(104, 0.06969576627983898)	(106, 0.0785770842291057)	(108, 0.08869686022830872)	(110, 0.09878926698883911)	(112, 0.11075646659844428)	(114, 0.12346947796187849)	(116, 0.13712672805951825)	(118, 0.15166663610435016)	(120, 0.16709604440604237)	(122, 0.18418813395709654)	(124, 0.20324396638291153)	(126, 0.22411985318045607)	(128, 0.24502310921667322)	(130, 0.2683280159464132)	(132, 0.2931177038741431)	(134, 0.32012430013435555)	(136, 0.34921095853368755)	(138, 0.37977555582134126)
SRR11605259_2 - illumina_universal_adapter	(1, 2.7369238672624767e-05)	(2, 5.473847734524953e-05)	(3, 5.473847734524953e-05)	(4, 6.842309668156192e-05)	(5, 6.842309668156192e-05)	(6, 8.21077160178743e-05)	(7, 8.21077160178743e-05)	(8, 9.579233535418669e-05)	(9, 9.579233535418669e-05)	(10, 0.00011631926435865526)	(12, 0.00013684619336312384)	(14, 0.00019158467070837335)	(16, 0.0002394808383854667)	(18, 0.00026000776738993527)	(20, 0.0002873770060625601)	(22, 0.00031474624473518483)	(24, 0.0003626424124122782)	(26, 0.0003831693414167467)	(28, 0.0004242231994256839)	(30, 0.00044475012843015247)	(32, 0.0005131732251117144)	(34, 0.0005337001541161829)	(36, 0.0005542270831206515)	(38, 0.0005952809411295887)	(40, 0.0006226501798022135)	(42, 0.0006979155861519316)	(44, 0.0007868656118379621)	(46, 0.0008758156375239926)	(48, 0.0009921349018826478)	(50, 0.0010947695469049907)	(52, 0.0013000388369496766)	(54, 0.0014847811979898937)	(56, 0.0017242620363753605)	(58, 0.0019911121134334516)	(60, 0.002244277571155231)	(62, 0.0025590238158904157)	(64, 0.003024300873325037)	(66, 0.0037290587691451247)	(68, 0.004543293619655711)	(70, 0.005432793876516016)	(72, 0.0064317710880668205)	(74, 0.007779706092693591)	(76, 0.009298698839024264)	(78, 0.010804006966018628)	(80, 0.012822488318124704)	(82, 0.015087292818284402)	(84, 0.017618947395502196)	(86, 0.02037639819176914)	(88, 0.023236483633058427)	(90, 0.026780800041163337)	(92, 0.03128988211247827)	(94, 0.03562106413242114)	(96, 0.04091016950590587)	(98, 0.04738983676164979)	(100, 0.05459478884221826)	(102, 0.06216238333519901)	(104, 0.07060579346570374)	(106, 0.07952816527297941)	(108, 0.08970267974952767)	(110, 0.09980877112939437)	(112, 0.11181702459700849)	(114, 0.12458477443778794)	(116, 0.13823518222575953)	(118, 0.15297351725096797)	(120, 0.16839608324299205)	(122, 0.1854129073876965)	(124, 0.20456453214886566)	(126, 0.22546094587541468)	(128, 0.24661052505968548)	(130, 0.2700522779827886)	(132, 0.2948967043878637)	(134, 0.3220196199124349)	(136, 0.35124996681479814)	(138, 0.3825398489272764)
SRR11605259_kneaddata_paired_1 - illumina_universal_adapter	(1, 1.4338749222302089e-05)	(2, 4.301624766690627e-05)	(3, 4.301624766690627e-05)	(4, 5.7354996889208355e-05)	(5, 5.7354996889208355e-05)	(6, 7.169374611151044e-05)	(7, 7.169374611151044e-05)	(8, 8.603249533381253e-05)	(9, 8.603249533381253e-05)	(10, 0.00010754061916726567)	(12, 0.0001290487430007188)	(14, 0.00018640373988992716)	(16, 0.00023658936216798445)	(18, 0.0002437587367791355)	(20, 0.0002867749844460418)	(22, 0.00032979123211294807)	(24, 0.0003799768543910054)	(26, 0.00039431560361330746)	(28, 0.0004301624766690627)	(30, 0.0004516706005025158)	(32, 0.0004946868481694221)	(34, 0.0005018562227805731)	(36, 0.0005090255973917242)	(38, 0.0005448724704474794)	(40, 0.0005592112196697815)	(42, 0.0006093968419478388)	(44, 0.0006739212134481982)	(46, 0.0007312762103374066)	(48, 0.0008674943279492764)	(50, 0.00096069619789424)	(52, 0.0011112530647284118)	(54, 0.0012689793061737347)	(56, 0.001448213671452511)	(58, 0.0016561255351758913)	(60, 0.0018998842719550268)	(62, 0.002215336754845673)	(64, 0.0026454992315147353)	(66, 0.003348097943407538)	(68, 0.004129559776023002)	(70, 0.005025731602416882)	(72, 0.006007935924144576)	(74, 0.0072984233541517635)	(76, 0.008760975774826575)	(78, 0.010230697570112541)	(80, 0.01220944496279023)	(82, 0.014331579847690939)	(84, 0.01681935283776035)	(86, 0.019572392688442353)	(88, 0.02242580378368047)	(90, 0.025953136092366783)	(92, 0.03026193023366856)	(94, 0.03444167563196962)	(96, 0.03958211722816492)	(98, 0.0460273850035897)	(100, 0.05326845336085226)	(102, 0.06078195795333856)	(104, 0.06908409375305147)	(106, 0.07798845702010107)	(108, 0.08814029146949094)	(110, 0.098206093423547)	(112, 0.11022196527183617)	(114, 0.122840064587462)	(116, 0.13645470697403783)	(118, 0.15072893182483954)	(120, 0.16609290161653625)	(122, 0.1831488438164646)	(124, 0.2021261784121814)	(126, 0.2229245341591306)	(128, 0.24373722865530206)	(130, 0.2667795986555415)	(132, 0.2912988598256781)	(134, 0.3181194902459942)	(136, 0.34696188430665476)	(138, 0.3772238145403234)
SRR11605259_kneaddata_paired_2 - illumina_universal_adapter	(1, 1.4338749222302089e-05)	(2, 4.301624766690627e-05)	(3, 4.301624766690627e-05)	(4, 5.7354996889208355e-05)	(5, 5.7354996889208355e-05)	(6, 7.169374611151044e-05)	(7, 7.169374611151044e-05)	(8, 8.603249533381253e-05)	(9, 8.603249533381253e-05)	(10, 0.00010754061916726567)	(12, 0.0001290487430007188)	(14, 0.00018640373988992716)	(16, 0.00023658936216798445)	(18, 0.0002437587367791355)	(20, 0.0002724362352237397)	(22, 0.0003011137336683439)	(24, 0.00035129935594640116)	(26, 0.0003656381051687033)	(28, 0.0004014849782244585)	(30, 0.00042299310205791164)	(32, 0.0004660093497248179)	(34, 0.00047317872433596896)	(36, 0.00048034809894712)	(38, 0.0005018562227805731)	(40, 0.0005161949720028752)	(42, 0.0005735499688920836)	(44, 0.000652413089614745)	(46, 0.0007241068357262555)	(48, 0.0008316474548935211)	(50, 0.0009320186994496357)	(52, 0.0010969143155061098)	(54, 0.0012689793061737347)	(56, 0.001455383046063662)	(58, 0.0016561255351758913)	(60, 0.0018783761481215738)	(62, 0.002172320507178766)	(64, 0.002595313609236678)	(66, 0.0033050816957406314)	(68, 0.004100882277578397)	(70, 0.0049396991070830695)	(72, 0.005907564679588461)	(74, 0.007241068357262555)	(76, 0.008746637025604274)	(78, 0.010237866944723692)	(80, 0.012202275588179077)	(82, 0.014367426720746694)	(84, 0.01689104658387186)	(86, 0.019644086434553863)	(88, 0.022540513777458884)	(90, 0.026096523584589804)	(92, 0.03054153584350345)	(94, 0.034800144362527166)	(96, 0.040033787828667435)	(98, 0.046522071851759134)	(100, 0.05376314020902168)	(102, 0.06133399979839719)	(104, 0.0697365068426662)	(106, 0.07866954760816042)	(108, 0.08878553518449453)	(110, 0.0988369983893283)	(112, 0.110831362113784)	(114, 0.12346380017863212)	(116, 0.13702108756831877)	(118, 0.15153907115589962)	(120, 0.1668743634491517)	(122, 0.18400199939519155)	(124, 0.20316573773079832)	(126, 0.22392824660469174)	(128, 0.24486282046925278)	(130, 0.2680557473363264)	(132, 0.2926323635033522)	(134, 0.31956770391744665)	(136, 0.3485749935941638)	(138, 0.3794463206697802)
SRR11605260_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 4.4147442872893587e-05)	(16, 0.00013874910617195127)	(18, 0.0001513626612784923)	(20, 0.00016397621638503332)	(22, 0.00016397621638503332)	(24, 0.00016397621638503332)	(26, 0.00017658977149157435)	(28, 0.00018920332659811534)	(30, 0.0002144304368111974)	(32, 0.0003153388776635256)	(34, 0.00032795243277006664)	(36, 0.00034687276542987814)	(38, 0.00037209987564296024)	(40, 0.00043516765117566534)	(42, 0.0004667015389420179)	(44, 0.0005360760920279934)	(46, 0.0006243709777737807)	(48, 0.0007252794186261089)	(50, 0.0009397098554373062)	(52, 0.0011289131820354215)	(54, 0.0013874910617195126)	(56, 0.0018037383802353665)	(58, 0.0022830534742839252)	(60, 0.0027623685683324842)	(62, 0.0031975362195081495)	(64, 0.0038156004197286595)	(66, 0.004585027281227663)	(68, 0.00554996424687805)	(70, 0.00676717231465926)	(72, 0.008066368490632985)	(74, 0.00959260865852445)	(76, 0.011535096144931766)	(78, 0.013578492072191412)	(80, 0.01629040642009773)	(82, 0.01945010197428626)	(84, 0.0230764990674168)	(86, 0.026904713042252004)	(88, 0.0306698592415545)	(90, 0.035639599953531664)	(92, 0.04150490307807324)	(94, 0.04787474840687646)	(96, 0.055360893362608556)	(98, 0.06354078384920041)	(100, 0.07199817254813617)	(102, 0.08151509987602137)	(104, 0.09246366570849898)	(106, 0.10439608883928678)	(108, 0.11790520635839222)	(110, 0.13159722042654248)	(112, 0.14736416430971877)	(114, 0.16473302969142578)	(116, 0.18309205914899623)	(118, 0.20437743339128422)	(120, 0.2259781465112357)	(122, 0.24986191310547115)	(124, 0.274805218328656)	(126, 0.3011423213911137)	(128, 0.33063912000775986)	(130, 0.3609936403716508)	(132, 0.39420513096717336)	(134, 0.4297690495900658)	(136, 0.46914856863268684)	(138, 0.5095876263042574)
SRR11605260_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.2613555106541023e-05)	(14, 5.676099797943461e-05)	(16, 0.0001513626612784923)	(18, 0.00016397621638503332)	(20, 0.00017658977149157435)	(22, 0.00017658977149157435)	(24, 0.00017658977149157435)	(26, 0.00018920332659811537)	(28, 0.0002018168817046564)	(30, 0.0002144304368111974)	(32, 0.00032164565521679614)	(34, 0.00034056598787660764)	(36, 0.0003594863205364192)	(38, 0.00038471343074950124)	(40, 0.00044778120628220634)	(42, 0.000504542204261641)	(44, 0.0005739167573476165)	(46, 0.0006748251981999447)	(48, 0.000788347194158814)	(50, 0.0009901640758634704)	(52, 0.0011919809575681268)	(54, 0.0014694791699120294)	(56, 0.001898340043534424)	(58, 0.002390268692689524)	(60, 0.0028758905642913535)	(62, 0.0033236717705735597)	(64, 0.0039858834136669635)	(66, 0.004755310275165967)	(68, 0.005695020130603272)	(70, 0.006912228198384481)	(72, 0.00824926503967783)	(74, 0.009870106870868351)	(76, 0.011907196020574728)	(78, 0.014001046168260537)	(80, 0.016744494403933212)	(82, 0.019967257733654438)	(84, 0.02352428027369901)	(86, 0.027295733250554774)	(88, 0.0311617878907096)	(90, 0.03612522182513349)	(92, 0.04209774016808067)	(94, 0.048669402378588536)	(96, 0.056344750660918756)	(98, 0.06466969703123583)	(100, 0.07326583483634354)	(102, 0.08282690960710162)	(104, 0.09384484999266521)	(106, 0.10597909000515768)	(108, 0.11948190074670985)	(110, 0.13320544870262646)	(112, 0.1490985281368682)	(114, 0.16664398329006674)	(116, 0.1849399449721045)	(118, 0.20625685310215883)	(120, 0.22797108821806922)	(122, 0.25196207003071025)	(124, 0.27687384136612875)	(126, 0.3032172512061397)	(128, 0.33269512949012603)	(130, 0.362980275300931)	(132, 0.3964188098883713)	(134, 0.43227914705626747)	(136, 0.47141270177431094)	(138, 0.5118454526683283)
SRR11605260_kneaddata_paired_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 3.294259897076779e-05)	(16, 0.00011859335629476405)	(18, 0.00013177039588307116)	(20, 0.00014494743547137828)	(22, 0.00014494743547137828)	(24, 0.00014494743547137828)	(26, 0.0001581244750596854)	(28, 0.00017130151464799252)	(30, 0.00018447855423629964)	(32, 0.0002767178313544495)	(34, 0.00028989487094275657)	(36, 0.00028989487094275657)	(38, 0.00030307191053106366)	(40, 0.0003623685886784457)	(42, 0.0003953111876492135)	(44, 0.00045460786579659554)	(46, 0.0005468471429147454)	(48, 0.0006259093804445881)	(50, 0.0008367420138575019)	(52, 0.001014632048299648)	(54, 0.0012452302410950226)	(56, 0.0016471299485383895)	(58, 0.002088560774746678)	(60, 0.002529991600954966)	(62, 0.002958245387574948)	(64, 0.003564389208637075)	(66, 0.004315480465170581)	(68, 0.005277404355117)	(70, 0.006469926437858794)	(72, 0.007748099277924584)	(74, 0.009171219553461753)	(76, 0.01105553621458967)	(78, 0.013078211791394814)	(80, 0.015819036025762692)	(82, 0.01896175996757394)	(84, 0.022519560656416863)	(86, 0.02638043325579085)	(88, 0.030149066578046682)	(90, 0.035057513824691085)	(92, 0.0409147079216936)	(94, 0.04729239508243424)	(96, 0.054717656890445304)	(98, 0.06288742143519571)	(100, 0.07132731529150643)	(102, 0.0807357215575577)	(104, 0.09158701365852862)	(106, 0.10347270336718163)	(108, 0.11680786743054844)	(110, 0.130347275607534)	(112, 0.14596206751967794)	(114, 0.16313833862303626)	(116, 0.1811381747006638)	(118, 0.2020501365273072)	(120, 0.2231729309873635)	(122, 0.24691136780569875)	(124, 0.27175008742965767)	(126, 0.2980514584479187)	(128, 0.3272320126162248)	(130, 0.357104361362917)	(132, 0.38984271622006605)	(134, 0.42466304333216764)	(136, 0.4633113004446724)	(138, 0.5028753618085645)
SRR11605260_kneaddata_paired_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 3.294259897076779e-05)	(16, 0.00011859335629476405)	(18, 0.00013177039588307116)	(20, 0.00014494743547137828)	(22, 0.00014494743547137828)	(24, 0.00014494743547137828)	(26, 0.0001581244750596854)	(28, 0.00017130151464799252)	(30, 0.00018447855423629964)	(32, 0.0002767178313544495)	(34, 0.00028989487094275657)	(36, 0.00028989487094275657)	(38, 0.00030307191053106366)	(40, 0.0003623685886784457)	(42, 0.0003953111876492135)	(44, 0.00045460786579659554)	(46, 0.000553435662708899)	(48, 0.0006390864200328952)	(50, 0.000849919053445809)	(52, 0.0010278090878879551)	(54, 0.0012847613598599439)	(56, 0.0017130151464799252)	(58, 0.0021742115320706745)	(60, 0.0026288193978672696)	(62, 0.0030636617042814045)	(64, 0.0037027481243143)	(66, 0.004453839380847806)	(68, 0.005382820671823457)	(70, 0.006588519794153558)	(72, 0.007899635233190117)	(74, 0.009474291463992816)	(76, 0.011431081842856423)	(78, 0.01348011149883818)	(80, 0.01626046685197098)	(82, 0.01950201859069453)	(84, 0.023026876680566688)	(86, 0.02684821816117575)	(88, 0.030689325201167274)	(90, 0.03561753800719414)	(92, 0.04148790914378496)	(94, 0.04806984041814436)	(96, 0.05569934633977418)	(98, 0.06400746980020182)	(100, 0.07261866517116053)	(102, 0.08217201887268319)	(104, 0.09329344028521439)	(106, 0.10547561338460432)	(108, 0.1189689019230308)	(110, 0.13267302309487022)	(112, 0.14859747543733937)	(114, 0.16614270364917028)	(116, 0.18431384124144579)	(118, 0.2055222864588261)	(120, 0.22707992322529655)	(122, 0.25095671895930904)	(124, 0.27595356305832763)	(126, 0.302485532269384)	(128, 0.3319098616700738)	(130, 0.3620523397283263)	(132, 0.3953638958075667)	(134, 0.4309748452949667)	(136, 0.4698866431992377)	(138, 0.5100568483841919)
SRR11605261_1 - illumina_universal_adapter	(1, 1.535560274502897e-05)	(2, 1.535560274502897e-05)	(3, 3.071120549005794e-05)	(4, 3.071120549005794e-05)	(5, 3.071120549005794e-05)	(6, 3.071120549005794e-05)	(7, 4.6066808235086906e-05)	(8, 4.6066808235086906e-05)	(9, 6.142241098011587e-05)	(10, 6.142241098011587e-05)	(12, 6.142241098011587e-05)	(14, 7.677801372514484e-05)	(16, 0.00011516702058771727)	(18, 0.00013820042470526073)	(20, 0.0001535560274502897)	(22, 0.0001996228356853766)	(24, 0.000253367445292978)	(26, 0.0002917564521555504)	(28, 0.00033014545901812283)	(30, 0.00033782326039063734)	(32, 0.00037621226725320975)	(34, 0.0004299568768608111)	(36, 0.00048370148646841255)	(38, 0.0005144126919584705)	(40, 0.0005604795001935574)	(42, 0.0005758351029385863)	(44, 0.0005988685070561298)	(46, 0.0006679687194087601)	(48, 0.0007677801372514484)	(50, 0.0008215247468590499)	(52, 0.0009136583633292236)	(54, 0.0009904363770543686)	(56, 0.0011593480072496871)	(58, 0.0014203932539151795)	(60, 0.001758216514305817)	(62, 0.0021804955897941135)	(64, 0.002694908281752584)	(66, 0.003485721823121576)	(68, 0.004268857563118053)	(70, 0.005290005145662479)	(72, 0.006748787406440231)	(74, 0.008199891865845469)	(76, 0.009942752777406257)	(78, 0.011777747305437219)	(80, 0.01438052197071963)	(82, 0.01720595287580496)	(84, 0.020476696260496127)	(86, 0.024284885741263314)	(88, 0.028768721742811774)	(90, 0.0337132258267111)	(92, 0.039318020828646674)	(94, 0.045798085187048906)	(96, 0.05302289627858503)	(98, 0.06053946382227671)	(100, 0.06919234596910054)	(102, 0.07835196300651032)	(104, 0.08863253904430721)	(106, 0.10040260854837191)	(108, 0.1137543051351746)	(110, 0.12805037129079658)	(112, 0.1425844492889665)	(114, 0.15853124273967908)	(116, 0.17658943156783313)	(118, 0.19573019038951175)	(120, 0.21686717756804413)	(122, 0.24093708487087703)	(124, 0.26585155032468655)	(126, 0.29416728178651996)	(128, 0.3239494733105036)	(130, 0.3545685451840914)	(132, 0.38873476129178086)	(134, 0.42532716263318493)	(136, 0.4657200756539836)	(138, 0.5071494918600717)
SRR11605261_2 - illumina_universal_adapter	(1, 1.535560274502897e-05)	(2, 1.535560274502897e-05)	(3, 3.071120549005794e-05)	(4, 3.071120549005794e-05)	(5, 3.071120549005794e-05)	(6, 3.071120549005794e-05)	(7, 4.6066808235086906e-05)	(8, 4.6066808235086906e-05)	(9, 6.142241098011587e-05)	(10, 6.910021235263035e-05)	(12, 7.677801372514484e-05)	(14, 9.213361647017381e-05)	(16, 0.00013052262333274625)	(18, 0.00016123382882280416)	(20, 0.00018426723294034762)	(22, 0.00023033404117543454)	(24, 0.00026872304803800696)	(26, 0.0002917564521555504)	(28, 0.00036853446588069525)	(30, 0.00039924567137075316)	(32, 0.00046834588372338354)	(34, 0.0005681573015660718)	(36, 0.0006372575139187022)	(38, 0.0007063577262713326)	(40, 0.0007908135413689919)	(42, 0.0008138469454865353)	(44, 0.0008292025482315643)	(46, 0.0008829471578391657)	(48, 0.000998114178426883)	(50, 0.0010518587880344844)	(52, 0.0011900592127397451)	(54, 0.0012975484319549479)	(56, 0.0014664600621502664)	(58, 0.001727505308815759)	(60, 0.002073006370578911)	(62, 0.0024876076446946928)	(64, 0.0030787983503783086)	(66, 0.003915678699982387)	(68, 0.004783270255076523)	(70, 0.005850484645856037)	(72, 0.007355333714868876)	(74, 0.008791082571529085)	(76, 0.010533943483089874)	(78, 0.012430360422100951)	(80, 0.015086879696990962)	(82, 0.01797373301305641)	(84, 0.021290543205982664)	(86, 0.025091054885377335)	(88, 0.029620957695160884)	(90, 0.03469598440239295)	(92, 0.04036987961668116)	(94, 0.04676548815998573)	(96, 0.05403636605975694)	(98, 0.061575967007566165)	(100, 0.07024420475713503)	(102, 0.07960344463023017)	(104, 0.09000686548998729)	(106, 0.10195352442561983)	(108, 0.11550484384810791)	(110, 0.1299083992229451)	(112, 0.1445499664403302)	(114, 0.1607194161308457)	(116, 0.17886973857546995)	(118, 0.19831760945204913)	(120, 0.21969260847312944)	(122, 0.24396213861164773)	(124, 0.2691760383189853)	(126, 0.29776049282885675)	(128, 0.32777301839401585)	(130, 0.3586377799115241)	(132, 0.3932723419029369)	(134, 0.4301181106896339)	(136, 0.4707643911557256)	(138, 0.5128310648757324)
