Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR11605259_1	(1, 1.3684619336312383e-05)	(2, 0.00010947695469049907)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.7369238672624767e-06)	(15, 0.0)	(20, 0.0024030191554564547)	(25, 0.06380864304135739)	(30, 0.07016104333727359)	(35, 0.13252732750058366)	(40, 0.02921666228302694)	(45, 0.0014341481064455378)	(50, 1.0947695469049907e-05)	(55, 8.21077160178743e-06)	(60, 0.002715028476324377)	(65, 0.010611053833376622)	(70, 0.008396882424761278)	(75, 0.001401305020038388)	(80, 0.001275406522144314)	(85, 0.0013985680961711257)	(90, 0.0009250802671347172)	(95, 0.00024358622418636043)	(100, 5.4738477345249535e-06)	(105, 0.0006541248042757319)	(110, 0.0002600077673899353)	(115, 0.0005939124791959575)	(120, 0.0013903573245693383)	(125, 0.0042860227761330385)	(130, 6.021232507977449e-05)	(135, 0.0005200155347798706)	(140, 2.7369238672624767e-05)	(145, 5.2001553477987053e-05)	(150, 0.0006979155861519316)
SRR11605259_2	(1, 0.06656198845182344)	(2, 0.0)	(3, 0.0005337001541161829)	(4, 0.0013410926949586138)	(5, 0.046965613562224104)	(6, 6.842309668156192e-05)	(7, 0.0)	(8, 0.0)	(9, 0.00021895390938099813)	(10, 0.00016968927977027357)	(15, 1.0947695469049907e-05)	(20, 0.0005254893825143956)	(25, 2.7369238672624767e-05)	(30, 5.473847734524953e-05)	(35, 0.0)	(40, 8.21077160178743e-05)	(45, 2.1895390938099814e-05)	(50, 1.0947695469049907e-05)	(55, 3.284308640714972e-05)	(60, 3.0106162539887246e-05)	(65, 0.0001286354217613364)	(70, 2.7369238672624767e-06)	(75, 2.7369238672624767e-06)	(80, 2.7369238672624767e-05)	(85, 2.7369238672624767e-06)	(90, 8.21077160178743e-06)	(95, 2.7369238672624767e-06)	(100, 0.0019541636412254084)	(105, 0.0003421154834078096)	(110, 0.00042148627555842145)	(115, 4.379078187619963e-05)	(120, 0.0005720170882578577)	(125, 2.7369238672624767e-05)	(130, 0.0008046556169751683)	(135, 0.0017762635898533473)	(140, 0.0013903573245693383)	(145, 0.00011495080242502403)	(150, 0.0)
SRR11605259_kneaddata_paired_1	(1, 0.0)	(2, 2.8677498444604178e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0003527332308686314)	(25, 0.00015199074175640214)	(30, 0.0004158237274467606)	(35, 0.005810061184876807)	(40, 0.0013535779265853173)	(45, 0.00043016247666906267)	(50, 0.0)	(55, 0.0)	(60, 0.0017573841196443216)	(65, 0.0013736839704385512)	(70, 0.0013752637904432428)	(75, 8.659345670976616e-06)	(80, 5.779602655207256e-06)	(85, 2.893181315557319e-06)	(90, 5.7932929888409585e-06)	(95, 2.3201068200381015e-05)	(100, 0.0)	(105, 0.00012501908721645525)	(110, 1.7467236195606846e-05)	(115, 0.0)	(120, 0.0007852342565421032)	(125, 0.000917938706075354)	(130, 2.9276580954401315e-06)	(135, 0.00020525170500392223)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11605259_kneaddata_paired_2	(1, 0.06409420902369034)	(2, 0.0)	(3, 0.0)	(4, 0.000802969956448917)	(5, 0.045267431294807696)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 9.75034947116542e-05)	(15, 0.0)	(20, 0.00022368448786791258)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 2.867749844460418e-06)	(45, 0.0)	(50, 0.0)	(55, 2.8751128877136452e-06)	(60, 1.152218224601092e-05)	(65, 1.1544320392063593e-05)	(70, 0.0)	(75, 0.0)	(80, 8.709981481998704e-06)	(85, 2.9093588663322416e-06)	(90, 0.0)	(95, 0.0)	(100, 0.0013532915918060128)	(105, 0.00011158364500896634)	(110, 0.00024726600335010107)	(115, 0.0)	(120, 0.00012132061214711682)	(125, 0.0)	(130, 0.0004553780821171688)	(135, 0.0011077732268171057)	(140, 0.0009288019940360125)	(145, 4.813080846732825e-05)	(150, 0.0)
SRR11605260_1	(1, 1.2613555106541023e-05)	(2, 0.0003784066531962307)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.522711021308205e-06)	(15, 2.522711021308205e-06)	(20, 0.002071145748494036)	(25, 0.06286091322895786)	(30, 0.0669350915283706)	(35, 0.1316274929587982)	(40, 0.027273028851363002)	(45, 0.0013269459972081157)	(50, 2.5227110213082046e-05)	(55, 7.568133063924614e-06)	(60, 0.0038521797295376285)	(65, 0.012484896844454306)	(70, 0.010703862863410712)	(75, 0.002686687237693238)	(80, 0.002878413275312662)	(85, 0.0027169597699489368)	(90, 0.002111509124834967)	(95, 0.0005600418467304214)	(100, 2.2704399191773842e-05)	(105, 0.0013647866625277388)	(110, 0.0006004052230713528)	(115, 0.0010923338722264525)	(120, 0.0011957650241000892)	(125, 0.004793150940485589)	(130, 2.522711021308205e-06)	(135, 0.0001639762163850333)	(140, 2.522711021308205e-06)	(145, 0.00013874910617195127)	(150, 8.829488574578716e-05)
SRR11605260_2	(1, 0.06511117145996477)	(2, 0.0)	(3, 0.0012109012902279384)	(4, 0.0011099928493756102)	(5, 0.043769036219697355)	(6, 6.306777553270512e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.7749821234390253e-05)	(15, 5.2976931447472296e-05)	(20, 0.0003985883413666963)	(25, 0.0)	(30, 5.04542204261641e-06)	(35, 0.0)	(40, 1.009084408523282e-05)	(45, 0.0)	(50, 0.0)	(55, 2.018168817046564e-05)	(60, 1.2613555106541023e-05)	(65, 1.2613555106541023e-05)	(70, 2.522711021308205e-06)	(75, 0.0)	(80, 7.063590859662974e-05)	(85, 0.0)	(90, 7.568133063924614e-06)	(95, 0.0)	(100, 0.0016776028291699563)	(105, 0.0005348147365173394)	(110, 0.0002800209233652107)	(115, 2.522711021308205e-06)	(120, 0.001157924358780466)	(125, 0.00012109012902279383)	(130, 0.0015842625213815526)	(135, 0.0023007124514330827)	(140, 0.0022603490750921517)	(145, 0.00018163519353419074)	(150, 0.0)
SRR11605260_kneaddata_paired_1	(1, 0.0)	(2, 0.00022400967300122097)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00020292640965992962)	(25, 0.00036368629263727645)	(30, 0.0008644137969929468)	(35, 0.006348697673646369)	(40, 0.0014204848676195071)	(45, 0.000292530278860418)	(50, 0.0)	(55, 0.0)	(60, 0.0022289185551573527)	(65, 0.0014669257882508513)	(70, 0.0013417322234998141)	(75, 2.3898312996842607e-05)	(80, 5.850038517185419e-05)	(85, 8.254814294238808e-05)	(90, 4.000037867025141e-05)	(95, 2.136543047710288e-05)	(100, 8.024454042226442e-06)	(105, 0.00019289609236722218)	(110, 2.683461414052139e-05)	(115, 0.0)	(120, 0.0006273850730173905)	(125, 0.0006123902573727876)	(130, 0.0)	(135, 5.9585122873190294e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11605260_kneaddata_paired_2	(1, 0.06195844014422006)	(2, 0.0)	(3, 0.0)	(4, 0.0005929667814738202)	(5, 0.04140225838646096)	(6, 1.3177039588307117e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.3177039588307117e-05)	(15, 1.0541631670645692e-05)	(20, 0.0002582699759308195)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.6470239139552055e-06)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 2.401664641796522e-05)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.001190678870137343)	(105, 0.00027548447455927886)	(110, 0.0001516510342884884)	(115, 0.0)	(120, 0.00012802846568561995)	(125, 5.465919187641972e-06)	(130, 0.0007978997086130587)	(135, 0.0012355749037840761)	(140, 0.001154579813464649)	(145, 6.65895430278737e-05)	(150, 0.0)
SRR11605261_1	(1, 1.535560274502897e-05)	(2, 0.0001074892192152028)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.1422410980115875e-06)	(15, 0.0)	(20, 0.002281842567911305)	(25, 0.06330193675610742)	(30, 0.0697113653418825)	(35, 0.13287203055273566)	(40, 0.02933534348410334)	(45, 0.0015017779484638332)	(50, 1.8426723294034766e-05)	(55, 9.213361647017383e-06)	(60, 0.002773221855752232)	(65, 0.011326292584733368)	(70, 0.008884751748273762)	(75, 0.0014649245018757636)	(80, 0.0014035020908956478)	(85, 0.0014434266580327232)	(90, 0.0010810344332500394)	(95, 0.0003040409343515736)	(100, 1.2284482196023175e-05)	(105, 0.0007524245345064194)	(110, 0.00024261852337145772)	(115, 0.000626508591997182)	(120, 0.0015417025156009086)	(125, 0.0047602368509589805)	(130, 3.378232603906373e-05)	(135, 0.0005190193727819791)	(140, 1.8426723294034766e-05)	(145, 6.449353152912167e-05)	(150, 0.00027640084941052146)
SRR11605261_2	(1, 0.06791783094126312)	(2, 1.535560274502897e-05)	(3, 0.0006142241098011587)	(4, 0.0015048490690128388)	(5, 0.04701885560527871)	(6, 3.071120549005794e-05)	(7, 0.0)	(8, 0.0)	(9, 9.213361647017381e-05)	(10, 0.00017505387129333026)	(15, 1.535560274502897e-05)	(20, 0.0005036637700369502)	(25, 1.2284482196023175e-05)	(30, 3.685344658806953e-05)	(35, 0.0)	(40, 3.992456713707532e-05)	(45, 6.1422410980115875e-06)	(50, 1.535560274502897e-05)	(55, 1.8426723294034766e-05)	(60, 3.992456713707532e-05)	(65, 3.378232603906373e-05)	(70, 1.2284482196023175e-05)	(75, 6.1422410980115875e-06)	(80, 5.22090493330985e-05)	(85, 9.213361647017383e-06)	(90, 3.0711205490057937e-06)	(95, 0.0)	(100, 0.002097575334970957)	(105, 0.00027025860831250985)	(110, 0.0005005926494879444)	(115, 2.7640084941052144e-05)	(120, 0.0006633620385852516)	(125, 7.063577262713326e-05)	(130, 0.0009766163345838424)	(135, 0.002073006370578911)	(140, 0.0015171335512088621)	(145, 0.0001566271479992955)	(150, 0.0)
