Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR11605259_1	(1, 36.382029275779836)	(2, 36.34657639561906)	(3, 36.32738234853795)	(4, 36.37180672828942)	(5, 36.4034636318925)	(6, 36.41110047055932)	(7, 36.37121856335035)	(8, 36.35459886685878)	(9, 36.366366818410846)	(10, 36.378510905409996)	(15, 36.35982770516871)	(20, 36.34149885446051)	(25, 36.24723076674648)	(30, 36.19139169020649)	(35, 36.15054832901218)	(40, 36.15671568588544)	(45, 36.1293229370368)	(50, 36.13309135277115)	(55, 36.1470106085906)	(60, 36.123179637724334)	(65, 36.082977373576696)	(70, 36.0609364056581)	(75, 36.05864401296536)	(80, 36.012631834201535)	(85, 35.972183739552136)	(90, 35.97563727219556)	(95, 35.94340071548664)	(100, 35.93512997788291)	(105, 35.8787050354199)	(110, 35.857748573583706)	(115, 35.80390430400437)	(120, 35.7639311751229)	(125, 35.74041432100888)	(130, 35.706381165365755)	(135, 35.689779970479535)	(140, 35.59235336314573)	(145, 35.518456172406495)	(150, 35.47889065359658)
SRR11605259_2	(1, 35.86019792886023)	(2, 35.65735054274569)	(3, 35.76220332771625)	(4, 35.89342774260982)	(5, 35.942100922972834)	(6, 35.94864942386384)	(7, 35.934453683995315)	(8, 35.93483439010525)	(9, 35.92432268660826)	(10, 35.96379750376122)	(15, 35.95215742129223)	(20, 35.92430719561917)	(25, 35.86733287042828)	(30, 35.83903603351856)	(35, 35.80881743814621)	(40, 35.7710768454325)	(45, 35.72095408071243)	(50, 35.66956948461261)	(55, 35.65844405330762)	(60, 35.612922796577855)	(65, 35.56767460274234)	(70, 35.51937074288598)	(75, 35.489920620997076)	(80, 35.434194415197375)	(85, 35.4028881936494)	(90, 35.32949736119485)	(95, 35.33178291157793)	(100, 35.244329080062414)	(105, 35.17924336097535)	(110, 35.21854868043321)	(115, 35.10102664751185)	(120, 35.046559974075855)	(125, 35.06451175878286)	(130, 34.90265484352049)	(135, 34.876621634233665)	(140, 34.74092858900353)	(145, 34.7863110015855)	(150, 34.64430636359432)
SRR11605259_kneaddata_paired_1	(1, 36.570367483502196)	(2, 36.513426589690525)	(3, 36.52219702903984)	(4, 36.56514072263568)	(5, 36.59226877583932)	(6, 36.587575416443876)	(7, 36.54763540403513)	(8, 36.53308300744941)	(9, 36.54513185842091)	(10, 36.55663285446213)	(15, 36.54121904317814)	(20, 36.528240496384555)	(25, 36.48253682298341)	(30, 36.4375682112224)	(35, 36.42001279303205)	(40, 36.393899751208366)	(45, 36.35847380647478)	(50, 36.36015938437022)	(55, 36.37520195457163)	(60, 36.35627270250609)	(65, 36.32452171455789)	(70, 36.30722640427153)	(75, 36.30875529198984)	(80, 36.27144565793249)	(85, 36.23864271139706)	(90, 36.247944680678835)	(95, 36.222374012641566)	(100, 36.22036420731584)	(105, 36.172819276636396)	(110, 36.15862971394348)	(115, 36.11319912772451)	(120, 36.08348738001065)	(125, 36.06872766906746)	(130, 36.04151127865571)	(135, 36.03587230190819)	(140, 35.95000364704416)	(145, 35.89232197479058)	(150, 36.37250145595879)
SRR11605259_kneaddata_paired_2	(1, 36.10066131745288)	(2, 35.883209023546954)	(3, 36.02617352266791)	(4, 36.16431016492573)	(5, 36.208589513011624)	(6, 36.200903513266)	(7, 36.18636688930442)	(8, 36.186932983123725)	(9, 36.18312747908012)	(10, 36.2173090498012)	(15, 36.20665111485926)	(20, 36.179107123218174)	(25, 36.126689187106194)	(30, 36.101045481222044)	(35, 36.07265051349212)	(40, 36.037925819628)	(45, 35.99038606938894)	(50, 35.93854027606504)	(55, 35.936850746372414)	(60, 35.900544621109745)	(65, 35.864768479408774)	(70, 35.82586739813505)	(75, 35.80703252854981)	(80, 35.760836776951024)	(85, 35.73908705432486)	(90, 35.678373140065666)	(95, 35.690938714282225)	(100, 35.61543855928793)	(105, 35.56308138303746)	(110, 35.61151026031237)	(115, 35.50709182264812)	(120, 35.467123859999276)	(125, 35.50058548090504)	(130, 35.35540002863072)	(135, 35.34527216351682)	(140, 35.229230687379115)	(145, 35.297822839691165)	(150, 36.058474903692144)
SRR11605260_1	(1, 36.3966587197065)	(2, 36.37396428522326)	(3, 36.350649137693225)	(4, 36.41459809618567)	(5, 36.43350430166377)	(6, 36.44333631559821)	(7, 36.40732915664888)	(8, 36.39989220455806)	(9, 36.39976606900699)	(10, 36.40141261726349)	(15, 36.37158110534854)	(20, 36.334561279741024)	(25, 36.24534134109084)	(30, 36.210441627052745)	(35, 36.17307235551456)	(40, 36.1914582266174)	(45, 36.18426110866338)	(50, 36.15913803505282)	(55, 36.12247671190854)	(60, 36.10447504969425)	(65, 36.05499414163434)	(70, 36.03677204493099)	(75, 36.02150066240085)	(80, 35.979082891112604)	(85, 35.95276359838995)	(90, 35.92185953065719)	(95, 35.88242327584369)	(100, 35.84802406767223)	(105, 35.80823299355359)	(110, 35.75053695273411)	(115, 35.72751249719506)	(120, 35.669298241077584)	(125, 35.64277011833659)	(130, 35.5776215855264)	(135, 35.58461595319564)	(140, 35.45538508616131)	(145, 35.378548454782745)	(150, 35.344085548157985)
SRR11605260_2	(1, 36.040048920412126)	(2, 35.89377835133014)	(3, 35.95770183044127)	(4, 36.05002422433258)	(5, 36.085673410587994)	(6, 36.05684147246102)	(7, 36.030134413827284)	(8, 36.01900496961458)	(9, 36.025076882771764)	(10, 36.04512600247806)	(15, 36.01920620627275)	(20, 35.99641817921062)	(25, 35.940380694752086)	(30, 35.912981782620776)	(35, 35.87996575167518)	(40, 35.84328058891175)	(45, 35.79014936845821)	(50, 35.74000357468152)	(55, 35.71167761670408)	(60, 35.67750434253169)	(65, 35.602024980136804)	(70, 35.55546310099963)	(75, 35.51914582518445)	(80, 35.46660456593035)	(85, 35.44298230356058)	(90, 35.36102615811671)	(95, 35.36826510261947)	(100, 35.28612797788692)	(105, 35.23645259403437)	(110, 35.23698945216681)	(115, 35.105544048489534)	(120, 35.03693428047677)	(125, 35.04129218808475)	(130, 34.9405341008093)	(135, 34.835773177502105)	(140, 34.7926208936729)	(145, 34.743536959419295)	(150, 34.57230688930937)
SRR11605260_kneaddata_paired_1	(1, 36.57704470099848)	(2, 36.53138375518747)	(3, 36.53115038981636)	(4, 36.59370891234343)	(5, 36.609243060773295)	(6, 36.60567577261595)	(7, 36.57014810201875)	(8, 36.56436680766978)	(9, 36.5657936175164)	(10, 36.56805479750975)	(15, 36.5421077834401)	(20, 36.51111430581115)	(25, 36.46953845310516)	(30, 36.44443803747497)	(35, 36.430451268803964)	(40, 36.416428895771986)	(45, 36.40001151673259)	(50, 36.37559928435411)	(55, 36.34910713253673)	(60, 36.340408914164726)	(65, 36.30364581579666)	(70, 36.29342459397611)	(75, 36.28490218239484)	(80, 36.25027047342978)	(85, 36.233033259920674)	(90, 36.21110535062743)	(95, 36.18076369906875)	(100, 36.15711992694552)	(105, 36.12798592532049)	(110, 36.08047991327779)	(115, 36.06660325162375)	(120, 36.0204627015356)	(125, 36.007810661170865)	(130, 35.955252414608374)	(135, 35.972134164830074)	(140, 35.86163086744452)	(145, 35.80614317224267)	(150, 36.33171721414851)
SRR11605260_kneaddata_paired_2	(1, 36.26097337737276)	(2, 36.098751633623486)	(3, 36.19457849153994)	(4, 36.29365045899582)	(5, 36.32643559234351)	(6, 36.28532968557739)	(7, 36.26204467069129)	(8, 36.25363165799573)	(9, 36.2659682659991)	(10, 36.283356977334705)	(15, 36.260159405283304)	(20, 36.23723214702203)	(25, 36.186432445666455)	(30, 36.16195577838222)	(35, 36.13150632800972)	(40, 36.09738296087552)	(45, 36.04728064116313)	(50, 35.997773296264846)	(55, 35.97899041805761)	(60, 35.95500956892001)	(65, 35.889737243250174)	(70, 35.855036591654695)	(75, 35.83003692306743)	(80, 35.78762180777378)	(85, 35.7760036734855)	(90, 35.70647570992504)	(95, 35.72514212340788)	(100, 35.65728370192103)	(105, 35.62188162379564)	(110, 35.63531019355304)	(115, 35.52109594893745)	(120, 35.47084216836156)	(125, 35.49240602310577)	(130, 35.410233588212456)	(135, 35.32815351280805)	(140, 35.306648281573494)	(145, 35.28974543807256)	(150, 36.056847126975335)
SRR11605261_1	(1, 36.35532342661504)	(2, 36.31979271164742)	(3, 36.295041476250795)	(4, 36.342509943904446)	(5, 36.375425292612526)	(6, 36.393942306850704)	(7, 36.352836279638424)	(8, 36.33289856503428)	(9, 36.34563972285594)	(10, 36.35863007139894)	(15, 36.33656075344415)	(20, 36.32098492064455)	(25, 36.22266278128969)	(30, 36.1650438609759)	(35, 36.12404083914684)	(40, 36.128723284514294)	(45, 36.10175715697771)	(50, 36.104340737139566)	(55, 36.12324253207133)	(60, 36.098711403884444)	(65, 36.0592585915749)	(70, 36.03482374301723)	(75, 36.03383600922625)	(80, 35.98799124300687)	(85, 35.94687474327352)	(90, 35.95035727113127)	(95, 35.91675353075213)	(100, 35.91394674154877)	(105, 35.851147332248104)	(110, 35.834002924628095)	(115, 35.77905999449348)	(120, 35.74136364815953)	(125, 35.714819891832065)	(130, 35.68142068808149)	(135, 35.66480181060984)	(140, 35.567349166904805)	(145, 35.4918328002124)	(150, 35.45416559881246)
SRR11605261_2	(1, 36.10400349739208)	(2, 35.964158180520776)	(3, 36.02106435517755)	(4, 36.11150363444084)	(5, 36.1485444193824)	(6, 36.15624371859875)	(7, 36.14043635402096)	(8, 36.15157070157139)	(9, 36.13645003954836)	(10, 36.15627114370526)	(15, 36.14374005052915)	(20, 36.117342325983785)	(25, 36.068874270013836)	(30, 36.0433745104058)	(35, 36.01878644364395)	(40, 35.981959255136566)	(45, 35.943327169082536)	(50, 35.896199196564154)	(55, 35.88869033753304)	(60, 35.846561043665034)	(65, 35.809616139107014)	(70, 35.766483940112536)	(75, 35.74152856733301)	(80, 35.69175255183245)	(85, 35.66235191632548)	(90, 35.59777700010181)	(95, 35.598887855115585)	(100, 35.52315792270021)	(105, 35.46109312543486)	(110, 35.49907315117391)	(115, 35.392578422214896)	(120, 35.34207412118734)	(125, 35.35554961464347)	(130, 35.207660449541414)	(135, 35.17859275421315)	(140, 35.054688119262664)	(145, 35.09163888966093)	(150, 34.9608696246369)
SRR11605261_kneaddata_paired_1	(1, 36.53448220350101)	(2, 36.47815709832834)	(3, 36.482208146338785)	(4, 36.530913949429014)	(5, 36.55912968303313)	(6, 36.56311249274968)	(7, 36.52313670613115)	(8, 36.50544632889993)	(9, 36.52221020309863)	(10, 36.53167879498221)	(15, 36.51290102612133)	(20, 36.50092651905091)	(25, 36.45279145079898)	(30, 36.40699509789552)	(35, 36.389296871658665)	(40, 36.36209295497282)	(45, 36.32640887648853)	(50, 36.32715775511703)	(55, 36.34588844215652)	(60, 36.32722890180767)	(65, 36.29725018583746)	(70, 36.277771240161016)	(75, 36.28137279707617)	(80, 36.24426221242051)	(85, 36.21178698438268)	(90, 36.221821040035664)	(95, 36.19512241458546)	(100, 36.19806050500256)	(105, 36.1459824256561)	(110, 36.13377501741157)	(115, 36.087460979338786)	(120, 36.06011634144139)	(125, 36.043669762919045)	(130, 36.01734876734646)	(135, 36.01048381178551)	(140, 35.92505751610692)	(145, 35.86768704349102)	(150, 36.36350010318701)
SRR11605261_kneaddata_paired_2	(1, 36.318153676802616)	(2, 36.15929076385081)	(3, 36.25072302957521)	(4, 36.347729851322214)	(5, 36.37991654104253)	(6, 36.372707149274795)	(7, 36.35208028283331)	(8, 36.36521214981221)	(9, 36.35310609981468)	(10, 36.37200650538402)	(15, 36.358456526680456)	(20, 36.332110362145116)	(25, 36.288365002469234)	(30, 36.26588894233688)	(35, 36.24260914402749)	(40, 36.207610459937314)	(45, 36.1720586932623)	(50, 36.124933873329304)	(55, 36.1245086568938)	(60, 36.09060915052331)	(65, 36.060779215683276)	(70, 36.02565583192833)	(75, 36.009734298765366)	(80, 35.967892054434934)	(85, 35.94722480601027)	(90, 35.89272551591856)	(95, 35.90282661536611)	(100, 35.83718049890515)	(105, 35.7869165489865)	(110, 35.831429004103576)	(115, 35.736067278113374)	(120, 35.699056940006905)	(125, 35.725011057215724)	(130, 35.59346549541699)	(135, 35.57918063730598)	(140, 35.474018418470784)	(145, 35.53114270976353)	(150, 36.16050919424264)
