Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR11605259_1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 9.0)	(19.0, 12.0)	(20.0, 38.0)	(21.0, 123.0)	(22.0, 272.0)	(23.0, 775.0)	(24.0, 2088.0)	(25.0, 5095.0)	(26.0, 10669.0)	(27.0, 20052.0)	(28.0, 32141.0)	(29.0, 47598.0)	(30.0, 66015.0)	(31.0, 89883.0)	(32.0, 122300.0)	(33.0, 175013.0)	(34.0, 289432.0)	(35.0, 758939.0)	(36.0, 5474401.0)	(37.0, 212613.0)				
SRR11605259_2	(11.0, 1.0)	(12.0, 85.0)	(13.0, 291.0)	(14.0, 338.0)	(15.0, 260.0)	(16.0, 181.0)	(17.0, 166.0)	(18.0, 193.0)	(19.0, 286.0)	(20.0, 554.0)	(21.0, 1377.0)	(22.0, 3306.0)	(23.0, 6775.0)	(24.0, 11884.0)	(25.0, 17367.0)	(26.0, 23550.0)	(27.0, 31558.0)	(28.0, 42066.0)	(29.0, 57156.0)	(30.0, 77937.0)	(31.0, 110863.0)	(32.0, 167645.0)	(33.0, 285686.0)	(34.0, 634020.0)	(35.0, 2053860.0)	(36.0, 3706195.0)	(37.0, 73874.0)
SRR11605259_kneaddata_paired_1	(26.0, 8.0)	(27.0, 107.0)	(28.0, 789.0)	(29.0, 4192.0)	(30.0, 14455.0)	(31.0, 37787.0)	(32.0, 77411.0)	(33.0, 141556.0)	(34.0, 265651.0)	(35.0, 746327.0)	(36.0, 5471709.0)	(37.0, 214117.0)															
SRR11605259_kneaddata_paired_2	(25.0, 3.0)	(26.0, 42.0)	(27.0, 419.0)	(28.0, 2132.0)	(29.0, 8182.0)	(30.0, 24365.0)	(31.0, 61910.0)	(32.0, 131374.0)	(33.0, 267402.0)	(34.0, 626052.0)	(35.0, 2054691.0)	(36.0, 3723289.0)	(37.0, 74248.0)														
SRR11605260_1	(15.0, 2.0)	(16.0, 12.0)	(17.0, 11.0)	(18.0, 48.0)	(19.0, 94.0)	(20.0, 156.0)	(21.0, 268.0)	(22.0, 591.0)	(23.0, 1433.0)	(24.0, 3300.0)	(25.0, 7050.0)	(26.0, 13705.0)	(27.0, 24338.0)	(28.0, 37818.0)	(29.0, 55082.0)	(30.0, 75683.0)	(31.0, 100265.0)	(32.0, 134749.0)	(33.0, 195195.0)	(34.0, 329965.0)	(35.0, 895313.0)	(36.0, 5799813.0)	(37.0, 253088.0)				
SRR11605260_2	(11.0, 1.0)	(12.0, 65.0)	(13.0, 260.0)	(14.0, 288.0)	(15.0, 209.0)	(16.0, 198.0)	(17.0, 207.0)	(18.0, 274.0)	(19.0, 369.0)	(20.0, 888.0)	(21.0, 2219.0)	(22.0, 4788.0)	(23.0, 8562.0)	(24.0, 13370.0)	(25.0, 18535.0)	(26.0, 25025.0)	(27.0, 33030.0)	(28.0, 43880.0)	(29.0, 59618.0)	(30.0, 81377.0)	(31.0, 116509.0)	(32.0, 177227.0)	(33.0, 299907.0)	(34.0, 643030.0)	(35.0, 2075407.0)	(36.0, 4237980.0)	(37.0, 84756.0)
SRR11605260_kneaddata_paired_1	(26.0, 5.0)	(27.0, 120.0)	(28.0, 1009.0)	(29.0, 5119.0)	(30.0, 17704.0)	(31.0, 45765.0)	(32.0, 91392.0)	(33.0, 164904.0)	(34.0, 312020.0)	(35.0, 890903.0)	(36.0, 5805200.0)	(37.0, 254817.0)															
SRR11605260_kneaddata_paired_2	(25.0, 4.0)	(26.0, 73.0)	(27.0, 439.0)	(28.0, 2200.0)	(29.0, 8546.0)	(30.0, 25538.0)	(31.0, 64461.0)	(32.0, 140502.0)	(33.0, 284377.0)	(34.0, 640343.0)	(35.0, 2079775.0)	(36.0, 4257428.0)	(37.0, 85272.0)														
SRR11605261_1	(15.0, 1.0)	(16.0, 4.0)	(17.0, 5.0)	(18.0, 10.0)	(19.0, 25.0)	(20.0, 59.0)	(21.0, 126.0)	(22.0, 256.0)	(23.0, 713.0)	(24.0, 1944.0)	(25.0, 4886.0)	(26.0, 9990.0)	(27.0, 18460.0)	(28.0, 29891.0)	(29.0, 44315.0)	(30.0, 61658.0)	(31.0, 83695.0)	(32.0, 112463.0)	(33.0, 162030.0)	(34.0, 269195.0)	(35.0, 698101.0)	(36.0, 4825769.0)	(37.0, 188685.0)				
SRR11605261_2	(12.0, 24.0)	(13.0, 139.0)	(14.0, 191.0)	(15.0, 165.0)	(16.0, 130.0)	(17.0, 118.0)	(18.0, 150.0)	(19.0, 222.0)	(20.0, 391.0)	(21.0, 971.0)	(22.0, 2229.0)	(23.0, 4668.0)	(24.0, 8021.0)	(25.0, 11808.0)	(26.0, 16178.0)	(27.0, 22142.0)	(28.0, 29697.0)	(29.0, 41132.0)	(30.0, 57011.0)	(31.0, 81631.0)	(32.0, 122226.0)	(33.0, 201917.0)	(34.0, 416468.0)	(35.0, 1418202.0)	(36.0, 3949688.0)	(37.0, 126762.0)	
SRR11605261_kneaddata_paired_1	(25.0, 1.0)	(26.0, 7.0)	(27.0, 125.0)	(28.0, 915.0)	(29.0, 4637.0)	(30.0, 15607.0)	(31.0, 40016.0)	(32.0, 77824.0)	(33.0, 138106.0)	(34.0, 254159.0)	(35.0, 692062.0)	(36.0, 4829242.0)	(37.0, 190128.0)														
SRR11605261_kneaddata_paired_2	(26.0, 29.0)	(27.0, 230.0)	(28.0, 1410.0)	(29.0, 5434.0)	(30.0, 16350.0)	(31.0, 42048.0)	(32.0, 91113.0)	(33.0, 183098.0)	(34.0, 405761.0)	(35.0, 1411100.0)	(36.0, 3959044.0)	(37.0, 127212.0)															
SRR11605262_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 20.0)	(18.0, 32.0)	(19.0, 100.0)	(20.0, 201.0)	(21.0, 365.0)	(22.0, 776.0)	(23.0, 1677.0)	(24.0, 3495.0)	(25.0, 7133.0)	(26.0, 13027.0)	(27.0, 22320.0)	(28.0, 35310.0)	(29.0, 51429.0)	(30.0, 70654.0)	(31.0, 92721.0)	(32.0, 124274.0)	(33.0, 185061.0)	(34.0, 243647.0)	(35.0, 478198.0)	(36.0, 4088695.0)	(37.0, 330309.0)			
SRR11605262_2	(12.0, 1.0)	(13.0, 11.0)	(14.0, 47.0)	(15.0, 114.0)	(16.0, 139.0)	(17.0, 201.0)	(18.0, 252.0)	(19.0, 456.0)	(20.0, 726.0)	(21.0, 1306.0)	(22.0, 2708.0)	(23.0, 5310.0)	(24.0, 9289.0)	(25.0, 13711.0)	(26.0, 18432.0)	(27.0, 25026.0)	(28.0, 33503.0)	(29.0, 44926.0)	(30.0, 60800.0)	(31.0, 85584.0)	(32.0, 133117.0)	(33.0, 196420.0)	(34.0, 365454.0)	(35.0, 1190739.0)	(36.0, 3508033.0)	(37.0, 53145.0)	
SRR11605262_kneaddata_paired_1	(26.0, 8.0)	(27.0, 145.0)	(28.0, 1063.0)	(29.0, 5432.0)	(30.0, 17570.0)	(31.0, 42961.0)	(32.0, 80524.0)	(33.0, 131183.0)	(34.0, 212317.0)	(35.0, 483162.0)	(36.0, 4121479.0)	(37.0, 329591.0)															
SRR11605262_kneaddata_paired_2	(25.0, 4.0)	(26.0, 35.0)	(27.0, 283.0)	(28.0, 1198.0)	(29.0, 4840.0)	(30.0, 14406.0)	(31.0, 36147.0)	(32.0, 77682.0)	(33.0, 153725.0)	(34.0, 339893.0)	(35.0, 1212205.0)	(36.0, 3531374.0)	(37.0, 53643.0)														
SRR11605263_1	(15.0, 6.0)	(16.0, 30.0)	(17.0, 92.0)	(18.0, 126.0)	(19.0, 196.0)	(20.0, 334.0)	(21.0, 544.0)	(22.0, 892.0)	(23.0, 1719.0)	(24.0, 3306.0)	(25.0, 6598.0)	(26.0, 12278.0)	(27.0, 21396.0)	(28.0, 34516.0)	(29.0, 51136.0)	(30.0, 70917.0)	(31.0, 95690.0)	(32.0, 131128.0)	(33.0, 190110.0)	(34.0, 321337.0)	(35.0, 852709.0)	(36.0, 5662481.0)	(37.0, 327033.0)				
SRR11605263_2	(12.0, 41.0)	(13.0, 130.0)	(14.0, 169.0)	(15.0, 161.0)	(16.0, 171.0)	(17.0, 214.0)	(18.0, 334.0)	(19.0, 559.0)	(20.0, 1095.0)	(21.0, 2162.0)	(22.0, 3831.0)	(23.0, 5963.0)	(24.0, 8350.0)	(25.0, 11793.0)	(26.0, 15926.0)	(27.0, 21508.0)	(28.0, 29613.0)	(29.0, 41079.0)	(30.0, 57692.0)	(31.0, 84955.0)	(32.0, 132881.0)	(33.0, 226345.0)	(34.0, 473044.0)	(35.0, 1580584.0)	(36.0, 4948671.0)	(37.0, 137303.0)	
SRR11605263_kneaddata_paired_1	(25.0, 1.0)	(26.0, 9.0)	(27.0, 154.0)	(28.0, 1128.0)	(29.0, 5735.0)	(30.0, 18739.0)	(31.0, 47668.0)	(32.0, 93067.0)	(33.0, 165339.0)	(34.0, 307976.0)	(35.0, 852406.0)	(36.0, 5672267.0)	(37.0, 329066.0)														
SRR11605263_kneaddata_paired_2	(25.0, 4.0)	(26.0, 32.0)	(27.0, 259.0)	(28.0, 1333.0)	(29.0, 5365.0)	(30.0, 16016.0)	(31.0, 41574.0)	(32.0, 94469.0)	(33.0, 202297.0)	(34.0, 460906.0)	(35.0, 1575362.0)	(36.0, 4957724.0)	(37.0, 138214.0)														
SRR11605264_1	(13.0, 2.0)	(14.0, 40.0)	(15.0, 249.0)	(16.0, 774.0)	(17.0, 1275.0)	(18.0, 1707.0)	(19.0, 2024.0)	(20.0, 2351.0)	(21.0, 2640.0)	(22.0, 3500.0)	(23.0, 5158.0)	(24.0, 8045.0)	(25.0, 13762.0)	(26.0, 22943.0)	(27.0, 36926.0)	(28.0, 55188.0)	(29.0, 78177.0)	(30.0, 105337.0)	(31.0, 138170.0)	(32.0, 187605.0)	(33.0, 260287.0)	(34.0, 425112.0)	(35.0, 1090832.0)	(36.0, 6759175.0)	(37.0, 285395.0)		
