Sample	Unique Reads	Duplicate Reads
SRR11605259_1	2525817.0	4781657.0
SRR11605259_2	2731804.0	4575670.0
SRR11605259_kneaddata_paired_1	2363072.0	4611037.0
SRR11605259_kneaddata_paired_2	2509611.0	4464498.0
SRR11605260_1	2960213.0	4967766.0
SRR11605260_2	3128062.0	4799917.0
SRR11605260_kneaddata_paired_1	2789118.0	4799840.0
SRR11605260_kneaddata_paired_2	2905892.0	4683066.0
SRR11605261_1	2156007.0	4356274.0
SRR11605261_2	2252745.0	4259536.0
SRR11605261_kneaddata_paired_1	2018765.0	4224064.0
SRR11605261_kneaddata_paired_2	2091523.0	4151306.0
SRR11605262_1	3100622.0	2648828.0
SRR11605262_2	3157326.0	2592124.0
SRR11605262_kneaddata_paired_1	2931025.0	2494410.0
SRR11605262_kneaddata_paired_2	2960909.0	2464526.0
SRR11605263_1	4058822.0	3725752.0
SRR11605263_2	4106445.0	3678129.0
SRR11605263_kneaddata_paired_1	3885532.0	3608023.0
SRR11605263_kneaddata_paired_2	3916744.0	3576811.0
SRR11605264_1	2897643.0	6589031.0
SRR11605264_2	3148775.0	6337899.0
SRR11605264_kneaddata_paired_1	2676757.0	6362657.0
SRR11605264_kneaddata_paired_2	2864547.0	6174867.0
SRR11605265_1	1778369.0	4372364.0
SRR11605265_2	2073882.0	4076851.0
SRR11605265_kneaddata_paired_1	1600154.0	4101813.0
SRR11605265_kneaddata_paired_2	1753144.0	3948823.0
SRR11605266_1	2369323.0	5365191.0
SRR11605266_2	2472083.0	5262431.0
SRR11605266_kneaddata_paired_1	2189148.0	5207622.0
SRR11605266_kneaddata_paired_2	2271584.0	5125186.0
SRR11605267_1	2064587.0	3277234.0
SRR11605267_2	2734714.0	2607107.0
SRR11605267_kneaddata_paired_1	1816546.0	2815392.0
SRR11605267_kneaddata_paired_2	2161789.0	2470149.0
SRR11605268_1	2081943.0	3215358.0
SRR11605268_2	2165895.0	3131406.0
SRR11605268_kneaddata_paired_1	1948865.0	3092159.0
SRR11605268_kneaddata_paired_2	2008309.0	3032715.0
SRR11605269_1	2704396.0	2229873.0
SRR11605269_2	2773225.0	2161044.0
SRR11605269_kneaddata_paired_1	2568268.0	2146697.0
SRR11605269_kneaddata_paired_2	2620258.0	2094707.0
SRR11605270_1	5170974.0	2876010.0
SRR11605270_2	5332032.0	2714952.0
SRR11605270_kneaddata_paired_1	4910377.0	2747005.0
SRR11605270_kneaddata_paired_2	5019500.0	2637882.0
SRR11605271_1	3199014.0	4056725.0
SRR11605271_2	3392901.0	3862838.0
SRR11605271_kneaddata_paired_1	3003281.0	3895668.0
SRR11605271_kneaddata_paired_2	3131210.0	3767739.0
SRR11605272_1	2628333.0	4596851.0
SRR11605272_2	2830198.0	4394986.0
SRR11605272_kneaddata_paired_1	2458475.0	4432311.0
SRR11605272_kneaddata_paired_2	2602157.0	4288629.0
SRR11605273_1	2182301.0	5283052.0
SRR11605273_2	2308492.0	5156861.0
SRR11605273_kneaddata_paired_1	2036625.0	5125285.0
SRR11605273_kneaddata_paired_2	2131397.0	5030513.0
SRR11605274_1	1881418.0	4442963.0
SRR11605274_2	1987439.0	4336942.0
SRR11605274_kneaddata_paired_1	1745806.0	4313390.0
SRR11605274_kneaddata_paired_2	1833241.0	4225955.0
