Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11605259_1	(1.0, 19.181426485965922)	(2.0, 13.314524001994323)	(3.0, 9.434461284115631)	(4.0, 6.743632956050588)	(5.0, 4.73427328912096)	(6.0, 3.557892834518159)	(7.0, 2.916276080483634)	(8.0, 2.378237117437264)	(9.0, 2.0965543615688533)	('>10', 23.73555231363717)	('>50', 6.6167394325849465)	('>100', 5.112491862656966)	('>500', 0.15887590861234932)	('>1k', 0.019062071253202525)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605259_2	(1.0, 22.418787272518596)	(2.0, 13.100745081836527)	(3.0, 9.269495916126568)	(4.0, 6.313326974609709)	(5.0, 4.5450803310112375)	(6.0, 3.5077072063987926)	(7.0, 2.799616954805457)	(8.0, 2.198866319151696)	(9.0, 1.9752163431888576)	('>10', 22.73844750151507)	('>50', 6.254366995080017)	('>100', 4.707075842862805)	('>500', 0.13311388749138814)	('>1k', 0.038153373403295866)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605259_kneaddata_paired_1	(1.0, 18.161697550830517)	(2.0, 13.745630542181889)	(3.0, 9.650502136745642)	(4.0, 6.7639607330441205)	(5.0, 4.762906720753385)	(6.0, 3.623159260566706)	(7.0, 2.9537127049206435)	(8.0, 2.4054747432414842)	(9.0, 2.105231638311181)	('>10', 24.075588778260443)	('>50', 6.608722168266014)	('>100', 4.986502577453963)	('>500', 0.13743771767158883)	('>1k', 0.019472727752451575)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605259_kneaddata_paired_2	(1.0, 20.58291930888761)	(2.0, 13.519327181849716)	(3.0, 9.556473079713129)	(4.0, 6.47751470308989)	(5.0, 4.672215132243248)	(6.0, 3.6307850979076233)	(7.0, 2.8405011903874504)	(8.0, 2.245908863407355)	(9.0, 2.023258183162435)	('>10', 23.23040482225573)	('>50', 6.39947486222034)	('>100', 4.66101384965902)	('>500', 0.12114278133834684)	('>1k', 0.03906094387818558)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605260_1	(1.0, 21.46499125445153)	(2.0, 14.084930806384943)	(3.0, 9.599259443839252)	(4.0, 6.767275692207889)	(5.0, 4.888009536596387)	(6.0, 3.7737363253266016)	(7.0, 2.952433525806084)	(8.0, 2.481192263449132)	(9.0, 2.151904910416361)	('>10', 22.85677249702803)	('>50', 5.384740027291429)	('>100', 3.5014087362208923)	('>500', 0.09334498098151907)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605260_2	(1.0, 23.94075759451407)	(2.0, 13.805868436649755)	(3.0, 9.442595807859288)	(4.0, 6.498398866747401)	(5.0, 4.901010590720639)	(6.0, 3.6686025394983655)	(7.0, 2.8223993346007776)	(8.0, 2.355055809473237)	(9.0, 1.9876826858738241)	('>10', 22.240863860096127)	('>50', 5.086769085202623)	('>100', 3.1546928335334052)	('>500', 0.0810001333524916)	('>1k', 0.014302421878020763)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605260_kneaddata_paired_1	(1.0, 20.58083799375213)	(2.0, 14.409860539684047)	(3.0, 9.802595570853722)	(4.0, 6.850098935962502)	(5.0, 4.986815836168592)	(6.0, 3.7852598910030184)	(7.0, 3.003151150620298)	(8.0, 2.5421524954882764)	(9.0, 2.1598587717687163)	('>10', 23.00842039679445)	('>50', 5.417228146621941)	('>100', 3.366605959997868)	('>500', 0.08711431128444293)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605260_kneaddata_paired_2	(1.0, 22.335420579482573)	(2.0, 14.275214737951261)	(3.0, 9.745803316540947)	(4.0, 6.625141252384514)	(5.0, 5.0059978580871904)	(6.0, 3.7265849070888333)	(7.0, 2.8712435369510656)	(8.0, 2.4079265181636904)	(9.0, 2.095808819925747)	('>10', 22.603359885919758)	('>50', 5.11751518057553)	('>100', 3.0993901106742485)	('>500', 0.07587188561323979)	('>1k', 0.014721410641374883)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605261_1	(1.0, 18.715934766177444)	(2.0, 12.351131870145176)	(3.0, 8.302010304403492)	(4.0, 5.99614824172833)	(5.0, 4.3987851819181865)	(6.0, 3.4861481407889925)	(7.0, 2.8092519498587394)	(8.0, 2.4373520449648747)	(9.0, 2.150476776633124)	('>10', 26.1086993787658)	('>50', 7.459632588627304)	('>100', 5.617634619359658)	('>500', 0.16679413662895073)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605261_2	(1.0, 20.42325294198185)	(2.0, 12.202328696543209)	(3.0, 8.326648583900901)	(4.0, 5.950410067332519)	(5.0, 4.203237705626401)	(6.0, 3.325870398208633)	(7.0, 2.7154686689967806)	(8.0, 2.3605589519054497)	(9.0, 2.058553607505023)	('>10', 25.392147981364303)	('>50', 7.4322106121496185)	('>100', 5.434036896597328)	('>500', 0.1752748878878999)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
