Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
SRR11605259_1	(150, 7307474.0)																				
SRR11605259_2	(150, 7307474.0)																				
SRR11605259_kneaddata_paired_1	(50, 8998.0)	(55, 8267.0)	(60, 8357.0)	(65, 8558.0)	(70, 7836.0)	(75, 8050.0)	(80, 8037.0)	(85, 8196.0)	(90, 8169.0)	(95, 8536.0)	(100, 8624.0)	(105, 8869.0)	(110, 8959.0)	(115, 9322.0)	(120, 9962.0)	(125, 9881.0)	(130, 10259.0)	(135, 10811.0)	(140, 11767.0)	(145, 150677.0)	(150, 6651974.0)
SRR11605259_kneaddata_paired_2	(50, 12690.0)	(55, 12880.0)	(60, 13414.0)	(65, 13319.0)	(70, 13426.0)	(75, 14002.0)	(80, 14333.0)	(85, 14263.0)	(90, 15514.0)	(95, 15900.0)	(100, 16596.0)	(105, 16911.0)	(110, 16407.0)	(115, 18089.0)	(120, 19242.0)	(125, 19053.0)	(130, 21272.0)	(135, 21678.0)	(140, 24836.0)	(145, 262052.0)	(150, 6398232.0)
SRR11605260_1	(150, 7927979.0)																				
SRR11605260_2	(150, 7927979.0)																				
SRR11605260_kneaddata_paired_1	(50, 10190.0)	(55, 10253.0)	(60, 10710.0)	(65, 11254.0)	(70, 10431.0)	(75, 10712.0)	(80, 10350.0)	(85, 10845.0)	(90, 10932.0)	(95, 11270.0)	(100, 12105.0)	(105, 11970.0)	(110, 12476.0)	(115, 12353.0)	(120, 13924.0)	(125, 14364.0)	(130, 14488.0)	(135, 15021.0)	(140, 16866.0)	(145, 178693.0)	(150, 7179751.0)
SRR11605260_kneaddata_paired_2	(50, 13539.0)	(55, 13839.0)	(60, 14581.0)	(65, 14918.0)	(70, 15037.0)	(75, 15603.0)	(80, 16766.0)	(85, 16631.0)	(90, 17875.0)	(95, 18519.0)	(100, 18637.0)	(105, 19640.0)	(110, 20146.0)	(115, 21757.0)	(120, 24175.0)	(125, 23300.0)	(130, 25417.0)	(135, 26634.0)	(140, 29041.0)	(145, 297188.0)	(150, 6925715.0)
SRR11605261_1	(150, 6512281.0)																				
SRR11605261_2	(150, 6512281.0)																				
SRR11605261_kneaddata_paired_1	(50, 9365.0)	(55, 8414.0)	(60, 8412.0)	(65, 8775.0)	(70, 7935.0)	(75, 7982.0)	(80, 8006.0)	(85, 8021.0)	(90, 8052.0)	(95, 8333.0)	(100, 8465.0)	(105, 8384.0)	(110, 8597.0)	(115, 8893.0)	(120, 9466.0)	(125, 9733.0)	(130, 9753.0)	(135, 10636.0)	(140, 11106.0)	(145, 138676.0)	(150, 5935825.0)
SRR11605261_kneaddata_paired_2	(50, 8513.0)	(55, 8735.0)	(60, 9018.0)	(65, 8943.0)	(70, 9220.0)	(75, 9403.0)	(80, 9829.0)	(85, 9983.0)	(90, 10781.0)	(95, 11124.0)	(100, 11434.0)	(105, 11833.0)	(110, 11519.0)	(115, 12372.0)	(120, 13501.0)	(125, 13735.0)	(130, 15447.0)	(135, 16089.0)	(140, 17958.0)	(145, 197246.0)	(150, 5826146.0)
SRR11605262_1	(150, 5749450.0)																				
SRR11605262_2	(150, 5749450.0)																				
SRR11605262_kneaddata_paired_1	(50, 10787.0)	(55, 10796.0)	(60, 9988.0)	(65, 9920.0)	(70, 11026.0)	(75, 9892.0)	(80, 10021.0)	(85, 10323.0)	(90, 10045.0)	(95, 10993.0)	(100, 13356.0)	(105, 12933.0)	(110, 14715.0)	(115, 17348.0)	(120, 19280.0)	(125, 21273.0)	(130, 24564.0)	(135, 26660.0)	(140, 29686.0)	(145, 136765.0)	(150, 5005064.0)
SRR11605262_kneaddata_paired_2	(50, 9192.0)	(55, 8683.0)	(60, 9233.0)	(65, 8813.0)	(70, 8917.0)	(75, 9810.0)	(80, 10157.0)	(85, 10570.0)	(90, 10925.0)	(95, 12186.0)	(100, 12977.0)	(105, 14388.0)	(110, 16643.0)	(115, 18194.0)	(120, 21233.0)	(125, 24801.0)	(130, 26794.0)	(135, 29942.0)	(140, 34045.0)	(145, 221328.0)	(150, 4906604.0)
SRR11605263_1	(150, 7784574.0)																				
SRR11605263_2	(150, 7784574.0)																				
SRR11605263_kneaddata_paired_1	(50, 11180.0)	(55, 11103.0)	(60, 11585.0)	(65, 11902.0)	(70, 10883.0)	(75, 10979.0)	(80, 10744.0)	(85, 11039.0)	(90, 10873.0)	(95, 11129.0)	(100, 11596.0)	(105, 11588.0)	(110, 11743.0)	(115, 11697.0)	(120, 12385.0)	(125, 12657.0)	(130, 12509.0)	(135, 12987.0)	(140, 14099.0)	(145, 162611.0)	(150, 7108266.0)
SRR11605263_kneaddata_paired_2	(50, 9365.0)	(55, 9398.0)	(60, 9861.0)	(65, 9910.0)	(70, 10222.0)	(75, 10411.0)	(80, 11148.0)	(85, 11071.0)	(90, 11969.0)	(95, 12524.0)	(100, 12506.0)	(105, 13247.0)	(110, 13464.0)	(115, 14597.0)	(120, 16061.0)	(125, 16067.0)	(130, 16654.0)	(135, 18041.0)	(140, 19058.0)	(145, 235575.0)	(150, 7012406.0)
SRR11605264_1	(150, 9486674.0)																				
SRR11605264_2	(150, 9486674.0)																				
SRR11605264_kneaddata_paired_1	(50, 17029.0)	(55, 17344.0)	(60, 18163.0)	(65, 18313.0)	(70, 17503.0)	(75, 17444.0)	(80, 17588.0)	(85, 17658.0)	(90, 18102.0)	(95, 18519.0)	(100, 19124.0)	(105, 19467.0)	(110, 20469.0)	(115, 20567.0)	(120, 22484.0)	(125, 23399.0)	(130, 24225.0)	(135, 25652.0)	(140, 28767.0)	(145, 229785.0)	(150, 8427812.0)
SRR11605264_kneaddata_paired_2	(50, 18919.0)	(55, 19709.0)	(60, 20503.0)	(65, 21199.0)	(70, 21433.0)	(75, 22056.0)	(80, 23808.0)	(85, 23681.0)	(90, 25141.0)	(95, 25622.0)	(100, 26504.0)	(105, 27721.0)	(110, 28117.0)	(115, 30980.0)	(120, 33856.0)	(125, 33309.0)	(130, 36110.0)	(135, 38809.0)	(140, 41674.0)	(145, 365983.0)	(150, 8154280.0)
SRR11605265_1	(150, 6150733.0)																				
SRR11605265_2	(150, 6150733.0)																				
SRR11605265_kneaddata_paired_1	(50, 9448.0)	(55, 9126.0)	(60, 8515.0)	(65, 8000.0)	(70, 9118.0)	(75, 8257.0)	(80, 8712.0)	(85, 7849.0)	(90, 7687.0)	(95, 7469.0)	(100, 9742.0)	(105, 8836.0)	(110, 9386.0)	(115, 11419.0)	(120, 12545.0)	(125, 13927.0)	(130, 16531.0)	(135, 16439.0)	(140, 18328.0)	(145, 141889.0)	(150, 5358744.0)
SRR11605265_kneaddata_paired_2	(50, 12755.0)	(55, 12593.0)	(60, 12362.0)	(65, 12054.0)	(70, 12869.0)	(75, 13298.0)	(80, 12448.0)	(85, 12846.0)	(90, 13107.0)	(95, 14212.0)	(100, 14908.0)	(105, 15920.0)	(110, 17187.0)	(115, 18219.0)	(120, 20235.0)	(125, 23253.0)	(130, 23632.0)	(135, 25885.0)	(140, 28405.0)	(145, 249813.0)	(150, 5135966.0)
SRR11605266_1	(150, 7734514.0)																				
SRR11605266_2	(150, 7734514.0)																				
SRR11605266_kneaddata_paired_1	(50, 13152.0)	(55, 11827.0)	(60, 11752.0)	(65, 12403.0)	(70, 11486.0)	(75, 11594.0)	(80, 11844.0)	(85, 12152.0)	(90, 12333.0)	(95, 12796.0)	(100, 13055.0)	(105, 13263.0)	(110, 13229.0)	(115, 14176.0)	(120, 14908.0)	(125, 14926.0)	(130, 15445.0)	(135, 16202.0)	(140, 17395.0)	(145, 175757.0)	(150, 6967075.0)
SRR11605266_kneaddata_paired_2	(50, 10445.0)	(55, 10435.0)	(60, 10813.0)	(65, 11167.0)	(70, 11169.0)	(75, 11634.0)	(80, 11996.0)	(85, 12301.0)	(90, 13614.0)	(95, 13979.0)	(100, 14616.0)	(105, 15446.0)	(110, 15169.0)	(115, 16354.0)	(120, 17981.0)	(125, 18151.0)	(130, 20442.0)	(135, 20887.0)	(140, 23902.0)	(145, 233544.0)	(150, 6882725.0)
SRR11605267_1	(150, 5341821.0)																				
SRR11605267_2	(150, 5341821.0)																				
SRR11605267_kneaddata_paired_1	(50, 8000.0)	(55, 7168.0)	(60, 6937.0)	(65, 6600.0)	(70, 6979.0)	(75, 7465.0)	(80, 7516.0)	(85, 6429.0)	(90, 5602.0)	(95, 5924.0)	(100, 6198.0)	(105, 5919.0)	(110, 7108.0)	(115, 7167.0)	(120, 7820.0)	(125, 8073.0)	(130, 9109.0)	(135, 8456.0)	(140, 9272.0)	(145, 96972.0)	(150, 4397224.0)
SRR11605267_kneaddata_paired_2	(50, 28462.0)	(55, 27698.0)	(60, 27152.0)	(65, 29202.0)	(70, 26579.0)	(75, 24911.0)	(80, 23020.0)	(85, 22307.0)	(90, 22749.0)	(95, 22785.0)	(100, 24957.0)	(105, 24647.0)	(110, 23910.0)	(115, 22471.0)	(120, 24823.0)	(125, 28467.0)	(130, 27008.0)	(135, 31941.0)	(140, 33618.0)	(145, 285072.0)	(150, 3850159.0)
SRR11605268_1	(150, 5297301.0)																				
SRR11605268_2	(150, 5297301.0)																				
SRR11605268_kneaddata_paired_1	(50, 10128.0)	(55, 8964.0)	(60, 9154.0)	(65, 9419.0)	(70, 8508.0)	(75, 8407.0)	(80, 8380.0)	(85, 8660.0)	(90, 8850.0)	(95, 9003.0)	(100, 8972.0)	(105, 9105.0)	(110, 8979.0)	(115, 9510.0)	(120, 10140.0)	(125, 10230.0)	(130, 10684.0)	(135, 11504.0)	(140, 13190.0)	(145, 119983.0)	(150, 4739254.0)
SRR11605268_kneaddata_paired_2	(50, 8151.0)	(55, 8257.0)	(60, 8595.0)	(65, 8661.0)	(70, 8770.0)	(75, 9117.0)	(80, 9108.0)	(85, 9425.0)	(90, 10501.0)	(95, 11035.0)	(100, 11340.0)	(105, 12290.0)	(110, 13025.0)	(115, 13916.0)	(120, 15658.0)	(125, 16922.0)	(130, 19520.0)	(135, 21421.0)	(140, 24926.0)	(145, 167640.0)	(150, 4632746.0)
SRR11605269_1	(150, 4934269.0)																				
SRR11605269_2	(150, 4934269.0)																				
