Sample	Bacilli	Actinomycetes	Gammaproteobacteria	Clostridia	Mammalia	Other	Unclassified
SRR11605259	6926205.0	20.0	166.0	89.0	144.0	5885.0	41600.0
SRR11605260	7535634.0	82.0	133.0	310.0	132.0	6020.0	46647.0
SRR11605261	6187364.0	12984.0	980.0	478.0	19.0	6947.0	34057.0
SRR11605262	911078.0	56102.0	31725.0	755.0	27369.0	466944.0	3931462.0
SRR11605263	4907126.0	2410206.0	2715.0	234.0	10.0	139192.0	34072.0
SRR11605264	8927802.0	462.0	2446.0	1447.0	663.0	12846.0	93748.0
SRR11605265	5619004.0	300.0	969.0	782.0	0.0	6635.0	74277.0
SRR11605266	7207738.0	4127.0	26929.0	7692.0	675.0	38041.0	111568.0
SRR11605267	4520135.0	1004.0	4854.0	1110.0	602.0	13702.0	90531.0
SRR11605268	4974122.0	1334.0	6223.0	823.0	346.0	9011.0	49165.0
SRR11605269	4171592.0	306376.0	2430.0	36625.0	3415.0	47206.0	147321.0
SRR11605270	6938665.0	623739.0	88.0	23.0	26.0	51155.0	43686.0
SRR11605271	3221344.0	3484793.0	524.0	674.0	63.0	142560.0	48991.0
SRR11605272	6837465.0	86.0	302.0	350.0	182.0	6161.0	46240.0
SRR11605273	7110669.0	229.0	326.0	420.0	172.0	8406.0	41688.0
SRR11605274	6010387.0	321.0	692.0	727.0	172.0	8827.0	38070.0
