Sample	Bacteria	Eukaryota	Viruses	Archaea	Other	Unclassified
SRR11605259	6930126.0	144.0	8.0	1.0	2230.0	41600.0
SRR11605260	7540137.0	132.0	17.0	3.0	2022.0	46647.0
SRR11605261	6206585.0	19.0	47.0	0.0	2121.0	34057.0
SRR11605262	1439782.0	27374.0	49.0	89.0	26679.0	3931462.0
SRR11605263	7458681.0	10.0	3.0	0.0	789.0	34072.0
SRR11605264	8940577.0	663.0	412.0	5.0	4009.0	93748.0
SRR11605265	5624817.0	0.0	59.0	0.0	2814.0	74277.0
SRR11605266	7267550.0	675.0	12530.0	6.0	4441.0	111568.0
SRR11605267	4537180.0	602.0	167.0	6.0	3452.0	90531.0
SRR11605268	4989959.0	346.0	38.0	1.0	1515.0	49165.0
SRR11605269	4559110.0	3415.0	208.0	11.0	4900.0	147321.0
SRR11605270	7612613.0	26.0	6.0	1.0	1050.0	43686.0
SRR11605271	6848882.0	63.0	10.0	2.0	1001.0	48991.0
SRR11605272	6842259.0	182.0	27.0	1.0	2077.0	46240.0
SRR11605273	7117794.0	172.0	3.0	0.0	2253.0	41688.0
SRR11605274	6018878.0	172.0	8.0	2.0	2066.0	38070.0
