Sample	Streptococcaceae	Lactobacillaceae	Bifidobacteriaceae	Bacillaceae	Actinomycetaceae	Other	Unclassified
SRR11605259	6799289.0	108092.0	4.0	222.0	0.0	24902.0	41600.0
SRR11605260	6743077.0	730927.0	35.0	67.0	0.0	68205.0	46647.0
SRR11605261	6129923.0	45389.0	12948.0	51.0	2.0	20459.0	34057.0
SRR11605262	5232.0	1919.0	169.0	889840.0	50411.0	546402.0	3931462.0
SRR11605263	2108.0	4889656.0	2408041.0	2884.0	1.0	156793.0	34072.0
SRR11605264	8904924.0	2629.0	40.0	347.0	16.0	37710.0	93748.0
SRR11605265	5592712.0	12877.0	41.0	657.0	9.0	21394.0	74277.0
SRR11605266	7182440.0	11795.0	871.0	204.0	12.0	89880.0	111568.0
SRR11605267	4503005.0	3702.0	122.0	226.0	6.0	34346.0	90531.0
SRR11605268	4955326.0	7064.0	645.0	100.0	6.0	28718.0	49165.0
SRR11605269	4079797.0	71178.0	305501.0	237.0	26.0	110905.0	147321.0
SRR11605270	350.0	6933244.0	623259.0	12.0	0.0	56831.0	43686.0
SRR11605271	2788390.0	400439.0	3482855.0	502.0	1.0	177771.0	48991.0
SRR11605272	6444231.0	354803.0	65.0	141.0	0.0	45306.0	46240.0
SRR11605273	7100406.0	1347.0	100.0	103.0	10.0	18256.0	41688.0
SRR11605274	5972222.0	27877.0	168.0	89.0	11.0	20759.0	38070.0
