Sample	Streptococcus	Bifidobacterium	Lactobacillus	Lacticaseibacillus	Lactiplantibacillus	Other	Unclassified
SRR11605259	6790783.0	4.0	107182.0	3.0	5.0	34532.0	41600.0
SRR11605260	6735581.0	35.0	726408.0	2.0	21.0	80264.0	46647.0
SRR11605261	6123021.0	12946.0	45002.0	5.0	4.0	27794.0	34057.0
SRR11605262	5184.0	169.0	86.0	81.0	31.0	1488422.0	3931462.0
SRR11605263	2092.0	2407029.0	1801083.0	579.0	2899052.0	349648.0	34072.0
SRR11605264	8883360.0	39.0	1968.0	103.0	7.0	60189.0	93748.0
SRR11605265	5575356.0	41.0	12028.0	10.0	7.0	40248.0	74277.0
SRR11605266	7129804.0	862.0	7660.0	1792.0	1116.0	143968.0	111568.0
SRR11605267	4489972.0	122.0	3329.0	51.0	48.0	47885.0	90531.0
SRR11605268	4914258.0	645.0	3286.0	2475.0	817.0	70378.0	49165.0
SRR11605269	3884184.0	305349.0	70124.0	328.0	111.0	307548.0	147321.0
SRR11605270	335.0	623006.0	880139.0	4592312.0	1276787.0	241117.0	43686.0
SRR11605271	2772728.0	3481978.0	396674.0	915.0	861.0	196802.0	48991.0
SRR11605272	6435786.0	65.0	352433.0	3.0	6.0	56253.0	46240.0
SRR11605273	7093532.0	99.0	1159.0	2.0	5.0	25425.0	41688.0
SRR11605274	5966124.0	168.0	27522.0	4.0	65.0	27243.0	38070.0
