Sample	Metazoa	Heunggongvirae	Orthornavirae	Bamfordvirae	Pararnavirae	Other	Unclassified
SRR11605259	144.0	8.0	0.0	0.0	0.0	6932357.0	41600.0
SRR11605260	132.0	17.0	0.0	0.0	0.0	7542162.0	46647.0
SRR11605261	19.0	39.0	8.0	0.0	0.0	6208706.0	34057.0
SRR11605262	27369.0	29.0	13.0	4.0	0.0	1466558.0	3931462.0
SRR11605263	10.0	3.0	0.0	0.0	0.0	7459470.0	34072.0
SRR11605264	663.0	411.0	0.0	1.0	0.0	8944591.0	93748.0
SRR11605265	0.0	37.0	22.0	0.0	0.0	5627631.0	74277.0
SRR11605266	675.0	12524.0	1.0	3.0	2.0	7271997.0	111568.0
SRR11605267	602.0	150.0	10.0	0.0	7.0	4540638.0	90531.0
SRR11605268	346.0	34.0	0.0	2.0	0.0	4991477.0	49165.0
SRR11605269	3415.0	203.0	3.0	1.0	0.0	4564022.0	147321.0
SRR11605270	26.0	6.0	0.0	0.0	0.0	7613664.0	43686.0
SRR11605271	63.0	7.0	2.0	1.0	0.0	6849885.0	48991.0
SRR11605272	182.0	27.0	0.0	0.0	0.0	6844337.0	46240.0
SRR11605273	172.0	2.0	0.0	0.0	0.0	7120048.0	41688.0
SRR11605274	172.0	7.0	1.0	0.0	0.0	6020946.0	38070.0
