Sample	Lactobacillales	Bifidobacteriales	Bacillales	Eubacteriales	Enterobacterales	Other	Unclassified
SRR11605259	6924481.0	4.0	277.0	88.0	145.0	7514.0	41600.0
SRR11605260	7534371.0	35.0	92.0	309.0	65.0	7439.0	46647.0
SRR11605261	6185813.0	12948.0	64.0	477.0	950.0	8520.0	34057.0
SRR11605262	11103.0	169.0	899720.0	671.0	21676.0	560634.0	3931462.0
SRR11605263	4903244.0	2408041.0	2904.0	233.0	291.0	144770.0	34072.0
SRR11605264	8924824.0	40.0	412.0	1443.0	1373.0	17574.0	93748.0
SRR11605265	5617056.0	41.0	702.0	780.0	489.0	8622.0	74277.0
SRR11605266	7206054.0	871.0	562.0	7690.0	22238.0	47787.0	111568.0
SRR11605267	4518065.0	122.0	364.0	1104.0	3529.0	18223.0	90531.0
SRR11605268	4972282.0	645.0	289.0	823.0	5129.0	12691.0	49165.0
SRR11605269	4168253.0	305501.0	690.0	36625.0	222.0	56353.0	147321.0
SRR11605270	6937564.0	623259.0	81.0	23.0	74.0	52695.0	43686.0
SRR11605271	3218668.0	3482855.0	664.0	674.0	343.0	146754.0	48991.0
SRR11605272	6836276.0	65.0	205.0	0.0	264.0	7736.0	46240.0
SRR11605273	7109380.0	100.0	132.0	417.0	235.0	9958.0	41688.0
SRR11605274	6009210.0	168.0	99.0	726.0	526.0	10397.0	38070.0
