Sample	Streptococcus thermophilus	Lacticaseibacillus paracasei	Lactiplantibacillus plantarum	Bifidobacterium breve	Bifidobacterium longum	Other	Unclassified
SRR11605259	6492206.0	0.0	3.0	1.0	0.0	440299.0	41600.0
SRR11605260	6385124.0	1.0	6.0	16.0	0.0	1157164.0	46647.0
SRR11605261	5867749.0	2.0	3.0	5.0	4.0	341009.0	34057.0
SRR11605262	2701.0	47.0	21.0	49.0	2.0	1491153.0	3931462.0
SRR11605263	1833.0	258.0	2143995.0	947.0	1908515.0	3403935.0	34072.0
SRR11605264	8398757.0	95.0	5.0	15.0	3.0	546791.0	93748.0
SRR11605265	5306182.0	7.0	4.0	11.0	0.0	321486.0	74277.0
SRR11605266	6820498.0	1302.0	506.0	151.0	113.0	462632.0	111568.0
SRR11605267	4235021.0	35.0	14.0	38.0	0.0	306299.0	90531.0
SRR11605268	4659044.0	1904.0	569.0	68.0	84.0	330190.0	49165.0
SRR11605269	3635946.0	244.0	75.0	890.0	9.0	930480.0	147321.0
SRR11605270	293.0	3551052.0	922667.0	238.0	13.0	3139433.0	43686.0
SRR11605271	2519853.0	873.0	561.0	2159482.0	25058.0	2144131.0	48991.0
SRR11605272	6114627.0	0.0	6.0	3.0	15.0	729895.0	46240.0
SRR11605273	6784107.0	1.0	5.0	4.0	46.0	336059.0	41688.0
SRR11605274	5693220.0	1.0	10.0	18.0	9.0	327868.0	38070.0
