Sample	Unclassified	Other
SRR11605259	41600.0	6932509.0
SRR11605260	46647.0	7542311.0
SRR11605261	34057.0	6208772.0
SRR11605262	3931462.0	1493973.0
SRR11605263	34072.0	7459483.0
SRR11605264	93748.0	8945666.0
SRR11605265	74277.0	5627690.0
SRR11605266	111568.0	7285202.0
SRR11605267	90531.0	4541407.0
SRR11605268	49165.0	4991859.0
SRR11605269	147321.0	4567644.0
SRR11605270	43686.0	7613696.0
SRR11605271	48991.0	6849958.0
SRR11605272	46240.0	6844546.0
SRR11605273	41688.0	7120222.0
SRR11605274	38070.0	6021126.0
