Sample	kraken-pct_top_one	kraken-pct_top_n	kraken-pct_unclassified	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR11605259	93.09011373352496	93.09017108852184	0.5964919676477669						
SRR11605259_1				65.43515951112514	39.0	150.0	150	20.0	7.307474
SRR11605259_2				62.61631243889328	39.0	150.0	150	20.0	7.307474
SRR11605259_kneaddata_paired_1				66.11651258136709	39.0	149.17132525459525	150	20.0	6.9741089999999994
SRR11605259_kneaddata_paired_2				64.01532044501344	39.0	148.19559960992868	150	20.0	6.9741089999999994
SRR11605260	84.1370317242499	84.13733479616042	0.614669365675762						
SRR11605260_1				62.66119339056351	39.0	150.0	150	20.0	7.927979
SRR11605260_2				60.54402041204728	39.0	150.0	150	20.0	7.927979
SRR11605260_kneaddata_paired_1				63.247692005557724	40.0	148.9092540108932	150	20.0	7.588958
SRR11605260_kneaddata_paired_2				61.708956348965465	40.0	148.08229515830763	150	20.0	7.588958
SRR11605261	93.99182646200946	93.99205071931331	0.5455379283975261						
SRR11605261_1				66.89321916956338	39.0	150.0	150	20.0	6.512281
SRR11605261_2				65.40774485016678	39.0	150.0	150	20.0	6.512281
SRR11605261_kneaddata_paired_1				67.66266300526351	39.0	149.029999940732	150	20.0	6.2428289999999995
SRR11605261_kneaddata_paired_2				66.49720147407172	39.0	148.71735298211757	150	20.0	6.2428289999999995
SRR11605262	0.049784026534277895	0.05197739904726534	72.46353518197158						
SRR11605262_1				46.07098390310976	37.0	150.0	150	10.0	5.7494499999999995
SRR11605262_2				45.08474321642236	37.0	150.0	150	10.0	5.7494499999999995
SRR11605262_kneaddata_paired_1				45.97623513709832	37.0	148.1320242524332	150	10.0	5.425434999999999
SRR11605262_kneaddata_paired_2				45.42541952161279	37.0	148.10263859026972	150	10.0	5.425434999999999
SRR11605263	0.02446102016999942	54.120480866558	0.45468405850093846						
SRR11605263_1				47.860709063527	48.0	150.0	150	10.0	7.784573999999999
SRR11605263_2				47.248951872279164	48.0	150.0	150	10.0	7.784573999999999
SRR11605263_kneaddata_paired_1				48.14835884809619	48.0	148.87931308971508	150	10.0	7.493555
SRR11605263_kneaddata_paired_2				47.731839918987475	48.0	148.83597384685908	150	10.0	7.493555
SRR11605264	92.91262685833395	92.91393225268806	1.0371026263428138						
SRR11605264_1				69.4556574010142	38.0	150.0	150	20.0	9.486673999999999
SRR11605264_2				66.80844879309822	38.0	150.0	150	20.0	9.486673999999999
SRR11605264_kneaddata_paired_1				70.38794161544898	38.0	148.3148166463003	150	20.0	9.039413999999999
SRR11605264_kneaddata_paired_2				68.31048928185068	38.0	147.6505792300253	150	20.0	9.039413999999999
SRR11605265	93.05879883205218	93.05918466381864	1.3026557326620796						
SRR11605265_1				71.08687814583377	35.0	150.0	150	20.0	6.150733
SRR11605265_2				66.28236481065512	35.0	150.0	150	20.0	6.150733
SRR11605265_kneaddata_paired_1				71.93680950149076	35.0	148.75703647530756	150	20.0	5.701967
SRR11605265_kneaddata_paired_2				69.25371203599651	35.0	147.7938016828228	150	20.0	5.701967
SRR11605266	92.20913993540424	92.23715216236276	1.5083340431025973						
SRR11605266_1				69.36689018325164	36.0	150.0	150	20.0	7.734514
SRR11605266_2				68.03829449526971	36.0	150.0	150	20.0	7.734514
SRR11605266_kneaddata_paired_1				70.40400271405946	36.0	148.6806562188631	150	20.0	7.39677
SRR11605266_kneaddata_paired_2				69.28952432711556	36.0	148.62008856568474	150	20.0	7.39677
SRR11605267	91.43086543904518	91.43274370252797	1.9544950731205817						
SRR11605267_1				61.35050835523553	40.0	150.0	150	20.0	5.3418209999999995
SRR11605267_2				48.805600349669895	40.0	150.0	150	10.0	5.3418209999999995
SRR11605267_kneaddata_paired_1				60.782163776878306	39.0	148.88667875088137	150	20.0	4.631938
SRR11605267_kneaddata_paired_2				53.328644596693984	39.0	144.61869578133386	150	20.0	4.631938
SRR11605268	92.42257128710357	92.47464404057588	0.975297875987101						
SRR11605268_1				60.698056477315845	38.0	150.0	150	20.0	5.297301
SRR11605268_2				59.1132508371297	38.0	150.0	150	20.0	5.297301
SRR11605268_kneaddata_paired_1				61.33990511188325	38.0	148.56559738656273	150	20.0	5.041024
SRR11605268_kneaddata_paired_2				60.16069931811554	38.0	148.28032141882284	150	20.0	5.041024
SRR11605269	77.1150157000105	77.14084834139808	3.124540691182225						
SRR11605269_1				45.19156088215015	41.0	150.0	150	10.0	4.934269
SRR11605269_2				43.79665722646215	41.0	150.0	150	10.0	4.934269
SRR11605269_kneaddata_paired_1				45.52945098853301	41.0	148.98165309816721	150	10.0	4.714964999999999
SRR11605269_kneaddata_paired_2				44.426788283940574	41.0	148.4515511780045	150	10.0	4.714964999999999
SRR11605270	0.0038263730345436597	58.43071430940757	0.5705083016623697						
SRR11605270_1				35.7402350378549	45.0	150.0	150	10.0	8.046984
SRR11605270_2				33.73876123022174	45.0	150.0	150	10.0	8.046984
SRR11605270_kneaddata_paired_1				35.873946775371095	45.0	149.21764266168253	150	10.0	7.657381999999999
SRR11605270_kneaddata_paired_2				34.448881725827746	45.0	148.2694034331838	150	10.0	7.657381999999999
SRR11605271	36.52517216752871	68.2107810914387	0.7101226578135308						
SRR11605271_1				55.910580052205674	49.0	150.0	150	30.0	7.255738999999999
SRR11605271_2				53.23839322916163	49.0	150.0	150	30.0	7.255738999999999
SRR11605271_kneaddata_paired_1				56.467561961347684	49.0	149.11172904742446	150	30.0	6.898949
SRR11605271_kneaddata_paired_2				54.61323307936352	49.0	148.24623257832462	150	30.0	6.898949
SRR11605272	88.73627769023736	88.73662598141925	0.6710410104159381						
SRR11605272_1				63.622625599797864	39.0	150.0	150	20.0	7.225184
SRR11605272_2				60.828708536144696	39.0	150.0	150	20.0	7.225184
SRR11605272_kneaddata_paired_1				64.32229250300715	39.0	149.16892086040693	150	20.0	6.890785999999999
SRR11605272_kneaddata_paired_2				62.237155014413624	39.0	148.10010251370454	150	20.0	6.890785999999999
SRR11605273	94.72482899114901	94.72561090547075	0.5820793615111053						
SRR11605273_1				70.76761624591555	39.0	150.0	150	20.0	7.4653529999999995
SRR11605273_2				69.07726892320665	39.0	150.0	150	20.0	7.4653529999999995
SRR11605273_kneaddata_paired_1				71.56310315216473	39.0	149.0195122530163	150	20.0	7.16191
SRR11605273_kneaddata_paired_2				70.23982983727213	39.0	148.65394964471767	150	20.0	7.16191
SRR11605274	93.95999073144358	93.96061787735535	0.6283011805526674						
SRR11605274_1				70.25136166690211	39.0	150.0	150	20.0	6.324381
SRR11605274_2				68.57496780506769	39.0	150.0	150	20.0	6.324381
SRR11605274_kneaddata_paired_1				71.18751303421305	39.0	148.94443668763975	150	20.0	6.059196
SRR11605274_kneaddata_paired_2				69.74448925994726	39.0	148.6311253176164	150	20.0	6.059196
